usuario_id,empleo_id,fecha_postulacion,estado,carta_presentacion
u1857,j64,2025-03-01,rechazado,true
u152,j65,2023-02-05,revisado,true
u1970,j66,2026-09-24,pendiente,false
u1820,j67,2026-07-05,pendiente,false
u1269,j68,2025-05-01,contratado,true
u263,j69,2023-02-13,pendiente,false
u1948,j70,2023-06-18,contratado,true
u1133,j71,2023-09-17,rechazado,true
u1787,j72,2026-09-11,contratado,true
u2058,j73,2025-04-05,pendiente,true
u294,j74,2026-02-19,pendiente,false
u2042,j75,2022-05-08,revisado,false
u1154,j76,2023-10-08,rechazado,true
u2117,j77,2024-12-22,contratado,true
u806,j78,2023-03-04,rechazado,false
u1259,j79,2024-07-16,revisado,true
u1271,j80,2026-07-03,contratado,false
u210,j81,2024-06-20,contratado,true
u2179,j82,2025-01-05,pendiente,false
u408,j83,2026-03-30,contratado,true
u1081,j84,2024-12-20,revisado,true
u1553,j85,2025-10-20,contratado,false
u359,j86,2023-04-21,contratado,true
u79,j87,2026-04-06,rechazado,true
u702,j88,2023-02-18,revisado,false
u629,j89,2026-01-14,pendiente,false
u727,j90,2026-12-24,contratado,true
u904,j91,2023-07-07,pendiente,true
u546,j92,2023-03-02,rechazado,false
u792,j93,2025-03-31,revisado,false
u434,j94,2026-02-28,pendiente,false
u889,j95,2024-12-21,pendiente,false
u1335,j96,2026-06-07,rechazado,true
u600,j97,2022-01-29,revisado,true
u1800,j98,2026-08-25,contratado,true
u920,j99,2023-04-24,rechazado,true
u1896,j100,2023-02-27,rechazado,false
u1122,j101,2024-01-17,pendiente,false
u742,j102,2022-12-29,pendiente,true
u334,j103,2024-01-30,rechazado,false
u448,j104,2025-03-20,rechazado,false
u1552,j105,2024-09-10,revisado,false
u1363,j106,2025-03-06,contratado,true
u1624,j107,2024-11-03,revisado,true
u231,j108,2026-01-22,contratado,true
u1945,j109,2026-07-30,revisado,true
u966,j110,2024-10-17,rechazado,true
u729,j111,2025-01-02,pendiente,false
u2114,j112,2022-09-23,rechazado,true
u15,j113,2026-12-12,pendiente,true
u1445,j114,2024-06-05,contratado,false
u925,j115,2025-06-27,rechazado,false
u1293,j116,2022-07-10,rechazado,true
u285,j117,2025-04-30,rechazado,false
u1122,j118,2025-07-27,rechazado,false
u1875,j119,2022-01-04,pendiente,false
u138,j120,2024-02-24,revisado,false
u2078,j121,2024-12-06,contratado,false
u1390,j122,2024-03-25,contratado,true
u1837,j123,2023-02-19,rechazado,true
u299,j124,2022-12-19,revisado,true
u184,j125,2024-09-04,revisado,true
u1957,j126,2025-12-23,pendiente,false
u146,j127,2026-03-21,contratado,false
u1728,j128,2024-08-06,rechazado,false
u383,j129,2024-12-17,rechazado,false
u153,j130,2025-05-01,revisado,false
u1517,j131,2024-02-29,rechazado,false
u842,j132,2023-03-05,pendiente,false
u642,j133,2024-02-18,contratado,true
u81,j134,2024-07-18,rechazado,false
u137,j135,2024-02-04,revisado,true
u218,j136,2022-09-30,pendiente,false
u2081,j137,2023-09-10,contratado,true
u152,j138,2025-09-12,contratado,false
u1809,j139,2023-04-26,pendiente,false
u1983,j140,2025-08-20,pendiente,false
u1560,j141,2024-05-15,contratado,true
u1711,j142,2025-03-31,contratado,true
u1940,j143,2023-12-23,rechazado,false
u850,j144,2024-01-23,revisado,true
u258,j145,2023-02-01,contratado,false
u900,j146,2024-11-04,pendiente,true
u2103,j147,2024-09-20,rechazado,true
u1119,j148,2025-06-20,rechazado,true
u1499,j149,2025-09-18,revisado,true
u2001,j150,2024-03-14,pendiente,true
u757,j151,2024-04-06,revisado,true
u209,j152,2026-05-29,rechazado,false
u1150,j153,2022-04-29,revisado,true
u729,j154,2024-11-25,pendiente,true
u1044,j155,2025-05-10,contratado,false
u1713,j156,2025-07-13,rechazado,false
u1582,j157,2023-11-18,rechazado,true
u901,j158,2022-06-05,revisado,true
u1472,j159,2026-01-20,rechazado,false
u1616,j160,2025-07-04,rechazado,true
u768,j161,2022-05-31,revisado,false
u748,j162,2026-02-18,pendiente,false
u300,j163,2023-12-29,revisado,true
u1656,j164,2026-06-21,revisado,true
u2138,j165,2025-06-23,pendiente,false
u1695,j166,2022-05-26,pendiente,false
u2124,j167,2024-05-27,revisado,false
u2075,j168,2023-02-18,pendiente,false
u1422,j169,2025-03-09,contratado,true
u891,j170,2025-11-18,rechazado,true
u1234,j171,2025-03-06,pendiente,false
u1037,j172,2024-03-23,revisado,false
u388,j173,2026-06-13,pendiente,true
u1317,j174,2026-05-01,revisado,false
u1988,j175,2022-11-24,pendiente,true
u1699,j176,2023-02-21,revisado,false
u347,j177,2025-04-09,pendiente,false
u224,j178,2023-09-10,revisado,true
u1460,j179,2025-01-30,contratado,false
u1959,j180,2024-04-28,revisado,false
u172,j181,2025-08-18,contratado,true
u1719,j182,2026-08-19,rechazado,true
u796,j183,2022-02-20,pendiente,true
u2160,j184,2022-08-03,pendiente,false
u567,j185,2023-01-25,revisado,true
u916,j186,2026-09-02,contratado,false
u389,j187,2024-09-10,rechazado,false
u0,j188,2026-09-16,contratado,false
u1453,j189,2025-01-14,revisado,true
u1102,j190,2024-08-24,rechazado,true
u1881,j191,2023-05-09,contratado,true
u19,j192,2025-05-12,pendiente,true
u1983,j193,2026-04-10,rechazado,true
u465,j194,2026-08-14,rechazado,false
u904,j195,2024-06-01,revisado,true
u1311,j196,2026-07-22,contratado,false
u397,j197,2026-12-07,rechazado,false
u1525,j198,2023-01-05,rechazado,false
u1115,j199,2025-07-30,contratado,true
u817,j200,2024-10-27,pendiente,false
u1882,j201,2023-12-11,revisado,false
u1765,j202,2024-10-04,contratado,false
u1156,j203,2026-05-11,rechazado,false
u1760,j204,2023-07-30,revisado,false
u1319,j205,2022-03-11,pendiente,false
u596,j206,2026-11-22,revisado,false
u2140,j207,2026-10-14,rechazado,false
u1469,j208,2023-11-23,revisado,false
u442,j209,2024-08-08,revisado,true
u2140,j210,2026-07-07,revisado,true
u1176,j211,2025-03-08,rechazado,false
u790,j212,2023-12-10,revisado,false
u632,j213,2026-06-05,pendiente,false
u2180,j214,2022-04-28,rechazado,false
u61,j215,2022-10-14,pendiente,false
u1881,j216,2025-07-14,rechazado,true
u695,j217,2025-05-17,contratado,false
u1800,j218,2023-08-14,revisado,false
u1390,j219,2025-12-17,revisado,true
u1505,j220,2025-08-09,pendiente,true
u2195,j221,2026-05-05,rechazado,true
u1367,j222,2026-12-04,rechazado,true
u2040,j223,2026-02-16,contratado,true
u757,j224,2023-12-21,pendiente,true
u165,j225,2026-04-10,contratado,false
u881,j226,2024-11-23,rechazado,false
u534,j227,2023-01-16,rechazado,false
u1920,j228,2024-04-24,rechazado,false
u213,j229,2022-07-29,rechazado,true
u1422,j230,2025-09-28,pendiente,true
u2167,j231,2022-10-24,pendiente,false
u434,j232,2026-11-28,revisado,true
u364,j233,2024-04-15,pendiente,true
u1995,j234,2023-03-07,rechazado,true
u834,j235,2026-09-17,pendiente,false
u1789,j236,2025-05-18,rechazado,false
u2159,j237,2025-03-25,pendiente,false
u2185,j238,2026-12-12,contratado,false
u1347,j239,2023-12-08,pendiente,false
u1450,j240,2022-06-28,pendiente,false
u1883,j241,2024-05-12,pendiente,false
u505,j242,2022-10-14,revisado,true
u2005,j243,2023-02-10,contratado,false
u10,j244,2024-08-24,contratado,false
u1064,j245,2024-02-18,contratado,false
u1850,j246,2026-10-16,rechazado,true
u2032,j247,2023-01-01,rechazado,false
u2090,j248,2026-07-27,pendiente,true
u1912,j249,2022-04-02,contratado,false
u2093,j250,2026-05-23,contratado,true
u2185,j251,2023-04-23,pendiente,true
u1103,j252,2026-07-25,revisado,true
u148,j253,2023-03-20,pendiente,false
u1743,j254,2022-06-19,pendiente,true
u693,j255,2025-01-11,revisado,false
u879,j256,2024-12-21,rechazado,true
u949,j257,2026-05-03,rechazado,true
u1518,j258,2024-02-11,revisado,false
u2155,j259,2024-03-20,revisado,false
u1728,j260,2022-07-02,rechazado,false
u778,j261,2025-11-06,pendiente,true
u993,j262,2026-05-09,rechazado,false
u1992,j263,2024-07-21,rechazado,false
u1804,j264,2023-08-13,revisado,false
u1433,j265,2022-03-07,contratado,false
u307,j266,2024-09-22,pendiente,true
u724,j267,2023-05-17,contratado,true
u482,j268,2024-12-22,contratado,true
u327,j269,2026-11-11,pendiente,false
u1102,j270,2024-12-18,revisado,true
u695,j271,2022-11-06,contratado,false
u2152,j272,2022-05-26,rechazado,true
u1550,j273,2023-03-20,revisado,false
u1422,j274,2025-09-06,revisado,true
u1429,j275,2023-05-02,pendiente,true
u803,j276,2023-06-28,pendiente,false
u1787,j277,2026-01-21,pendiente,true
u2158,j278,2023-07-03,revisado,true
u754,j279,2024-11-29,contratado,true
u87,j280,2026-08-04,contratado,true
u1046,j281,2026-07-18,revisado,false
u1001,j282,2023-03-27,pendiente,true
u171,j283,2023-10-19,contratado,false
u477,j284,2024-03-07,rechazado,false
u1478,j285,2022-03-17,pendiente,true
u1712,j286,2022-11-24,contratado,false
u1925,j287,2022-09-21,pendiente,true
u1165,j288,2022-02-18,revisado,true
u1198,j289,2023-06-06,pendiente,false
u124,j290,2026-07-14,contratado,false
u2192,j291,2024-04-24,revisado,false
u1912,j292,2026-12-08,revisado,false
u176,j293,2023-04-11,rechazado,true
u686,j294,2022-09-28,revisado,false
u571,j295,2025-11-21,revisado,true
u913,j296,2023-12-30,pendiente,true
u234,j297,2023-03-01,contratado,false
u1520,j298,2022-12-30,rechazado,true
u697,j299,2026-06-08,pendiente,true
u990,j300,2026-06-26,rechazado,true
u1157,j301,2026-02-08,rechazado,false
u1870,j302,2024-02-02,rechazado,false
u638,j303,2022-12-26,revisado,false
u1903,j304,2026-10-30,pendiente,true
u1429,j305,2023-12-07,contratado,true
u49,j306,2025-10-15,contratado,true
u794,j307,2023-11-04,revisado,true
u2140,j308,2024-10-18,rechazado,true
u1641,j309,2023-05-11,contratado,false
u47,j310,2025-01-21,revisado,false
u1536,j311,2025-05-08,rechazado,false
u1126,j312,2025-04-10,contratado,true
u1849,j313,2026-05-06,contratado,true
u44,j314,2023-08-25,revisado,true
u1334,j315,2023-04-28,revisado,true
u1248,j316,2023-02-01,rechazado,false
u263,j317,2023-04-21,rechazado,false
u440,j318,2024-05-24,pendiente,false
u686,j319,2025-06-30,pendiente,true
u2145,j320,2024-10-23,rechazado,true
u2038,j321,2025-09-16,rechazado,false
u787,j322,2023-11-10,pendiente,true
u1542,j323,2023-01-04,pendiente,false
u1639,j324,2026-07-12,pendiente,false
u1800,j325,2024-12-22,rechazado,true
u232,j326,2024-01-30,pendiente,true
u1093,j327,2023-06-27,revisado,false
u1304,j328,2025-01-13,revisado,false
u834,j329,2022-01-06,revisado,true
u1223,j330,2024-03-09,contratado,true
u120,j331,2023-03-05,rechazado,false
u2097,j332,2024-05-21,rechazado,false
u1701,j333,2026-09-11,rechazado,true
u1483,j334,2025-04-09,contratado,true
u1468,j335,2025-11-17,pendiente,true
u284,j336,2025-11-02,rechazado,true
u101,j337,2025-04-13,revisado,true
u1306,j338,2022-07-28,rechazado,true
u291,j339,2026-02-23,revisado,true
u1399,j340,2022-01-05,rechazado,false
u1869,j341,2022-12-22,contratado,false
u674,j342,2025-03-27,revisado,true
u511,j343,2025-07-15,pendiente,true
u439,j344,2024-04-29,revisado,false
u2108,j345,2022-03-11,pendiente,true
u1022,j346,2022-05-15,rechazado,false
u1170,j347,2024-02-21,revisado,false
u129,j348,2026-01-06,revisado,false
u1648,j349,2026-08-02,contratado,false
u551,j350,2026-05-09,rechazado,true
u313,j351,2025-09-25,pendiente,false
u602,j352,2022-06-13,pendiente,false
u1778,j353,2023-01-29,contratado,false
u542,j354,2024-05-02,rechazado,true
u2057,j355,2024-05-18,pendiente,false
u257,j356,2025-09-20,pendiente,true
u837,j357,2024-10-02,pendiente,false
u2069,j358,2022-04-13,pendiente,false
u751,j359,2026-08-29,revisado,false
u1440,j360,2025-12-02,revisado,false
u1123,j361,2025-12-25,contratado,true
u1149,j362,2025-06-16,rechazado,true
u863,j363,2025-01-22,pendiente,true
u1748,j364,2024-10-06,pendiente,false
u1657,j365,2024-08-16,rechazado,false
u2072,j366,2022-07-23,rechazado,true
u1772,j367,2023-04-15,contratado,true
u1914,j368,2023-01-18,revisado,false
u1901,j369,2023-05-04,revisado,true
u2171,j370,2022-05-01,contratado,false
u571,j371,2023-08-15,pendiente,true
u1514,j372,2026-09-27,revisado,true
u1854,j373,2024-12-26,pendiente,true
u511,j374,2026-12-08,rechazado,true
u890,j375,2025-11-26,pendiente,true
u1463,j376,2024-05-15,revisado,true
u1437,j377,2023-09-10,contratado,true
u1073,j378,2026-08-20,revisado,false
u1166,j379,2022-04-16,revisado,false
u1714,j380,2025-07-20,revisado,false
u1932,j381,2024-02-12,revisado,false
u913,j382,2026-06-26,revisado,true
u1635,j383,2026-08-19,revisado,false
u762,j384,2024-01-10,contratado,true
u67,j385,2023-03-04,revisado,false
u1457,j386,2022-07-04,rechazado,true
u212,j387,2022-03-26,contratado,true
u699,j388,2023-07-05,revisado,true
u59,j389,2022-05-26,rechazado,true
u1171,j390,2025-11-30,rechazado,false
u1726,j391,2025-08-25,contratado,false
u1874,j392,2022-04-20,revisado,false
u1300,j393,2022-09-27,revisado,false
u318,j394,2022-11-13,rechazado,true
u1223,j395,2026-08-09,contratado,false
u23,j396,2022-09-20,revisado,true
u1821,j397,2026-10-08,contratado,false
u795,j398,2022-05-12,revisado,true
u1775,j399,2022-05-15,pendiente,false
u1403,j400,2023-04-01,contratado,true
u1401,j401,2023-04-01,pendiente,true
u1290,j402,2024-02-28,rechazado,true
u1164,j403,2022-10-16,contratado,false
u1742,j404,2023-06-01,revisado,false
u1979,j405,2024-02-15,revisado,true
u2083,j406,2024-07-02,rechazado,false
u567,j407,2022-10-31,contratado,false
u2196,j408,2023-05-29,revisado,true
u1451,j409,2023-03-17,revisado,true
u2120,j410,2023-08-05,rechazado,true
u1180,j411,2022-12-15,revisado,false
u209,j412,2025-06-29,pendiente,false
u1568,j413,2026-09-25,rechazado,true
u450,j414,2022-10-19,contratado,true
u1959,j415,2023-01-06,rechazado,true
u1548,j416,2024-01-02,revisado,false
u751,j417,2026-09-24,revisado,true
u496,j418,2024-10-07,contratado,false
u1942,j419,2022-12-07,revisado,false
u1148,j420,2025-02-26,contratado,true
u1561,j421,2022-02-26,contratado,false
u1321,j422,2024-05-30,revisado,false
u1294,j423,2024-03-16,rechazado,false
u1977,j424,2026-11-10,contratado,false
u52,j425,2024-05-22,rechazado,false
u502,j426,2025-02-20,revisado,false
u1187,j427,2023-01-06,rechazado,true
u980,j428,2025-08-03,rechazado,true
u189,j429,2023-10-02,rechazado,false
u609,j430,2023-12-05,contratado,false
u1080,j431,2024-02-05,contratado,true
u1225,j432,2022-07-21,rechazado,false
u1355,j433,2023-03-15,pendiente,true
u679,j434,2024-09-11,contratado,false
u1091,j435,2023-06-29,contratado,false
u703,j436,2024-10-29,rechazado,true
u1345,j437,2023-10-07,contratado,false
u1994,j438,2025-05-23,pendiente,true
u2127,j439,2022-07-29,rechazado,false
u2099,j440,2022-02-17,rechazado,true
u663,j441,2024-05-04,rechazado,false
u911,j442,2024-05-19,contratado,false
u2028,j443,2024-01-22,rechazado,false
u1426,j444,2025-07-05,revisado,true
u2052,j445,2025-03-27,rechazado,true
u2041,j446,2023-03-10,pendiente,true
u118,j447,2025-09-20,revisado,false
u1702,j448,2024-10-16,revisado,false
u583,j449,2025-06-12,revisado,true
u331,j450,2022-05-01,revisado,false
u108,j451,2023-09-10,pendiente,false
u1704,j452,2023-09-12,pendiente,false
u1493,j453,2025-11-10,contratado,true
u2120,j454,2022-03-07,contratado,true
u1998,j455,2022-08-01,contratado,false
u463,j456,2023-06-16,pendiente,false
u160,j457,2026-02-11,contratado,true
u1848,j458,2022-06-28,rechazado,true
u1463,j459,2025-08-31,rechazado,false
u603,j460,2024-09-08,revisado,false
u668,j461,2026-08-15,rechazado,true
u1078,j462,2025-10-30,contratado,true
u2174,j463,2022-01-06,contratado,false
u880,j464,2025-10-04,rechazado,false
u314,j465,2025-10-27,rechazado,true
u1415,j466,2024-12-20,revisado,true
u1571,j467,2023-01-30,contratado,false
u1187,j468,2022-09-14,rechazado,false
u265,j469,2025-08-05,revisado,false
u1256,j470,2026-10-20,contratado,false
u401,j471,2023-12-18,rechazado,true
u18,j472,2026-09-30,rechazado,true
u661,j473,2026-04-09,revisado,true
u859,j474,2024-11-17,pendiente,false
u658,j475,2025-12-19,pendiente,false
u1835,j476,2026-09-12,contratado,true
u2007,j477,2026-04-03,rechazado,true
u446,j478,2023-09-29,contratado,true
u12,j479,2023-04-04,rechazado,false
u867,j480,2026-09-04,pendiente,true
u1837,j481,2025-07-15,pendiente,true
u773,j482,2025-05-18,rechazado,false
u101,j483,2023-11-21,revisado,false
u467,j484,2025-11-27,revisado,true
u831,j485,2022-10-11,contratado,false
u1754,j486,2026-11-03,rechazado,false
u141,j487,2022-04-09,rechazado,true
u1017,j488,2025-12-05,pendiente,false
u1358,j489,2024-06-03,contratado,false
u1508,j490,2022-07-21,pendiente,true
u534,j491,2022-09-26,contratado,false
u382,j492,2025-12-12,pendiente,false
u562,j493,2023-10-29,rechazado,true
u628,j494,2026-07-07,revisado,false
u72,j495,2024-10-06,contratado,true
u71,j496,2026-11-17,rechazado,true
u366,j497,2022-08-12,rechazado,true
u1368,j498,2023-08-21,contratado,false
u1677,j499,2026-12-19,pendiente,true
u737,j500,2024-06-18,pendiente,false
u621,j501,2022-01-30,pendiente,false
u860,j502,2025-04-21,rechazado,false
u407,j503,2024-08-14,pendiente,true
u1493,j504,2024-05-27,rechazado,false
u911,j505,2023-09-01,pendiente,true
u534,j506,2024-08-08,contratado,false
u946,j507,2024-09-07,rechazado,true
u778,j508,2022-01-12,pendiente,false
u982,j509,2022-04-03,pendiente,true
u1941,j510,2026-12-22,pendiente,true
u2029,j511,2026-07-12,contratado,true
u1280,j512,2024-10-03,pendiente,true
u1648,j513,2026-12-22,pendiente,false
u911,j514,2022-08-16,contratado,false
u2016,j515,2025-02-08,contratado,true
u57,j516,2026-04-07,contratado,true
u389,j517,2026-01-26,pendiente,false
u1813,j518,2025-10-11,contratado,false
u1706,j519,2024-03-01,pendiente,false
u146,j520,2024-05-22,pendiente,false
u1419,j521,2026-12-05,contratado,true
u2183,j522,2022-02-13,contratado,false
u800,j523,2026-10-05,pendiente,false
u1333,j524,2022-04-07,pendiente,false
u518,j525,2024-05-18,contratado,true
u2063,j526,2026-06-22,rechazado,false
u1020,j527,2026-11-29,pendiente,false
u1446,j528,2022-02-02,revisado,true
u214,j529,2025-11-08,pendiente,false
u1349,j530,2022-09-04,contratado,true
u199,j531,2024-10-02,revisado,true
u2094,j532,2024-03-18,contratado,true
u1522,j533,2026-12-29,revisado,false
u475,j534,2024-01-01,contratado,false
u772,j535,2026-03-08,rechazado,true
u442,j536,2025-02-08,contratado,false
u569,j537,2024-06-19,rechazado,true
u1885,j538,2024-04-23,pendiente,false
u1342,j539,2022-01-12,revisado,true
u1124,j540,2024-11-02,contratado,true
u1118,j541,2023-01-21,pendiente,false
u1283,j542,2026-01-06,contratado,false
u1933,j543,2024-01-06,revisado,false
u2079,j544,2022-07-04,pendiente,true
u811,j545,2025-08-08,contratado,true
u986,j546,2022-10-24,rechazado,true
u1938,j547,2022-10-27,rechazado,false
u1885,j548,2022-12-01,contratado,true
u1694,j549,2022-02-06,contratado,true
u1621,j550,2025-06-07,revisado,true
u1918,j551,2023-09-22,rechazado,true
u742,j552,2026-03-26,contratado,false
u585,j553,2024-04-24,revisado,true
u1755,j554,2023-10-14,contratado,false
u1566,j555,2024-02-29,contratado,true
u617,j556,2023-01-10,pendiente,false
u1341,j557,2024-12-17,contratado,false
u446,j558,2022-08-21,revisado,false
u2019,j559,2022-12-14,rechazado,true
u446,j560,2025-06-06,rechazado,true
u1791,j561,2026-05-23,pendiente,false
u972,j562,2023-04-23,pendiente,true
u59,j563,2022-01-20,rechazado,false
u2167,j564,2024-05-04,contratado,false
u2038,j565,2022-09-05,revisado,false
u700,j566,2023-01-05,pendiente,true
u149,j567,2026-02-13,pendiente,true
u1687,j568,2023-10-14,pendiente,true
u2123,j569,2023-01-14,rechazado,true
u2136,j570,2022-06-22,contratado,true
u2089,j571,2026-12-04,contratado,true
u1870,j572,2025-08-01,rechazado,true
u1735,j573,2023-07-25,revisado,true
u1150,j574,2023-11-04,rechazado,true
u1780,j575,2022-05-03,pendiente,false
u505,j576,2025-03-03,contratado,false
u1480,j577,2023-12-03,contratado,false
u1987,j578,2025-04-21,revisado,false
u1830,j579,2026-06-24,revisado,false
u1692,j580,2025-09-24,revisado,false
u1797,j581,2026-08-26,pendiente,false
u693,j582,2022-02-17,rechazado,false
u1295,j583,2025-07-01,rechazado,false
u109,j584,2023-01-30,contratado,false
u53,j585,2024-03-11,revisado,true
u414,j586,2026-01-18,contratado,false
u1706,j587,2025-09-02,revisado,false
u1188,j588,2024-06-01,revisado,true
u197,j589,2026-02-26,contratado,false
u1230,j590,2022-03-05,contratado,false
u488,j591,2026-01-02,revisado,false
u523,j592,2024-02-06,pendiente,true
u889,j593,2024-10-17,revisado,true
u107,j594,2025-02-27,rechazado,true
u706,j595,2024-04-08,revisado,false
u535,j596,2025-03-19,contratado,false
u2184,j597,2022-10-07,contratado,false
u1244,j598,2026-04-03,revisado,false
u1810,j599,2022-11-04,revisado,true
u1384,j600,2023-10-29,revisado,true
u1010,j601,2023-12-15,pendiente,false
u1196,j602,2025-09-20,pendiente,false
u1265,j603,2023-02-09,revisado,true
u1691,j604,2024-08-01,rechazado,true
u1196,j605,2025-01-30,rechazado,false
u1945,j606,2025-11-15,rechazado,true
u473,j607,2026-07-13,revisado,true
u2058,j608,2025-10-04,rechazado,false
u2083,j609,2023-02-23,pendiente,true
u1964,j610,2026-12-12,revisado,true
u641,j611,2023-09-16,revisado,false
u395,j612,2026-05-24,rechazado,false
u283,j613,2026-04-03,contratado,true
u2151,j614,2022-01-15,revisado,true
u1346,j615,2024-03-31,pendiente,true
u1945,j616,2023-04-20,pendiente,false
u1413,j617,2022-01-30,rechazado,true
u963,j618,2022-08-13,pendiente,true
u477,j619,2024-09-28,revisado,true
u786,j620,2023-05-23,revisado,true
u1681,j621,2026-09-23,pendiente,false
u306,j622,2024-06-16,revisado,false
u1315,j623,2025-03-20,pendiente,false
u799,j624,2024-11-16,revisado,false
u634,j625,2023-05-24,rechazado,true
u992,j626,2024-11-12,rechazado,true
u238,j627,2025-05-13,pendiente,true
u1034,j628,2026-07-30,rechazado,false
u722,j629,2023-03-06,contratado,true
u1224,j630,2026-08-13,contratado,true
u1297,j631,2024-10-15,pendiente,true
u2111,j632,2024-11-16,contratado,true
u668,j633,2025-12-05,contratado,true
u1298,j634,2026-02-03,rechazado,true
u1544,j635,2023-12-30,contratado,true
u911,j636,2023-10-06,revisado,true
u467,j637,2023-01-09,pendiente,false
u1265,j638,2024-09-18,pendiente,false
u1383,j639,2023-01-05,pendiente,true
u1759,j640,2025-04-28,pendiente,false
u503,j641,2023-05-27,pendiente,false
u461,j642,2025-08-07,rechazado,false
u1872,j643,2022-08-10,contratado,true
u2181,j644,2023-03-02,contratado,true
u32,j645,2023-03-24,contratado,false
u812,j646,2023-09-19,rechazado,true
u492,j647,2026-04-06,contratado,true
u754,j648,2026-09-10,pendiente,true
u685,j649,2023-10-19,rechazado,true
u640,j541,2025-05-06,contratado,false
u1354,j337,2023-06-24,revisado,false
u231,j418,2024-12-10,revisado,false
u2042,j409,2026-04-28,revisado,false
u370,j510,2024-11-08,rechazado,false
u679,j357,2025-10-29,rechazado,true
u2153,j251,2022-08-06,rechazado,false
u105,j626,2022-09-01,rechazado,true
u701,j191,2023-04-13,revisado,true
u1928,j42,2025-12-04,pendiente,true
u258,j150,2023-10-11,rechazado,true
u1823,j104,2025-05-23,rechazado,false
u2049,j566,2022-08-01,contratado,true
u48,j2,2023-01-07,rechazado,true
u155,j504,2022-09-12,contratado,true
u965,j144,2026-07-01,pendiente,true
u885,j81,2024-07-22,pendiente,true
u765,j461,2023-08-20,pendiente,false
u1533,j531,2023-11-25,revisado,false
u1598,j21,2023-09-06,rechazado,true
u1454,j94,2026-06-07,pendiente,true
u2002,j573,2024-01-12,contratado,false
u759,j98,2025-10-08,rechazado,false
u402,j529,2026-02-17,contratado,true
u1006,j500,2026-08-29,revisado,false
u1939,j56,2026-07-12,rechazado,true
u284,j1,2024-05-17,revisado,false
u1412,j59,2023-03-13,rechazado,false
u1879,j159,2025-11-04,rechazado,false
u912,j82,2026-01-07,revisado,false
u44,j98,2025-10-25,pendiente,false
u203,j281,2024-01-26,contratado,false
u1912,j140,2025-11-26,rechazado,true
u1884,j476,2023-11-15,contratado,true
u1477,j269,2026-08-12,pendiente,false
u906,j301,2025-06-11,contratado,false
u616,j118,2023-07-04,contratado,true
u382,j517,2026-08-14,pendiente,true
u481,j340,2026-06-06,revisado,false
u1906,j155,2024-02-03,pendiente,true
u418,j197,2022-07-16,revisado,false
u1382,j47,2026-07-06,revisado,true
u1195,j436,2023-05-21,contratado,true
u1729,j215,2025-03-12,contratado,false
