usuario_id,empresa_id,fecha_seguimiento,notificaciones,motivo
u1176,e297,2021-07-24,false,seguimiento de ofertas
u2132,e153,2024-03-18,true,interés general
u1707,e59,2022-01-14,true,trabajo actual
u744,e242,2019-06-26,false,seguimiento de ofertas
u1804,e525,2023-02-27,false,seguimiento de ofertas
u685,e417,2025-10-30,true,networking
u1035,e373,2025-10-19,true,interés en la industria
u1297,e1,2021-03-14,true,ex empleador
u1391,e275,2024-07-13,true,networking
u1405,e439,2020-09-03,false,cliente potencial
u162,e159,2022-10-21,false,seguimiento de ofertas
u1035,e520,2023-05-29,true,networking
u2013,e16,2024-03-28,false,ex empleador
u1861,e78,2023-08-11,true,posible empleador
u2131,e140,2019-12-23,false,posible empleador
u831,e114,2023-02-07,true,ex empleador
u617,e303,2026-04-04,false,ex empleador
u754,e164,2023-06-27,false,interés general
u1651,e436,2023-08-08,true,ex empleador
u1519,e354,2019-04-09,true,trabajo actual
u2155,e471,2019-07-07,false,trabajo actual
u610,e9,2020-05-07,true,ex empleador
u1479,e517,2019-11-30,true,interés general
u493,e135,2024-11-20,true,trabajo actual
u335,e81,2021-08-17,false,cliente potencial
u528,e81,2020-08-01,true,interés general
u1716,e45,2025-12-28,true,ex empleador
u1482,e212,2019-12-21,true,interés general
u1946,e368,2024-06-13,false,cliente potencial
u1514,e213,2019-12-24,true,seguimiento de ofertas
u448,e178,2026-07-21,true,networking
u17,e135,2025-06-20,false,seguimiento de ofertas
u1492,e185,2025-01-04,true,trabajo actual
u1235,e196,2026-12-04,false,trabajo actual
u1077,e351,2025-07-12,false,trabajo actual
u1874,e209,2019-06-17,true,posible empleador
u1463,e426,2020-01-28,true,interés general
u2050,e371,2020-08-04,false,trabajo actual
u1041,e214,2026-02-22,false,interés en la industria
u385,e525,2024-11-28,false,seguimiento de ofertas
u1763,e0,2021-01-17,true,trabajo actual
u733,e396,2024-04-26,true,interés en la industria
u305,e149,2024-08-10,false,networking
u1945,e456,2021-11-14,false,cliente potencial
u2066,e298,2025-12-24,false,cliente potencial
u974,e107,2026-07-07,true,seguimiento de ofertas
u1327,e24,2020-02-08,true,interés general
u1082,e464,2021-08-05,true,interés general
u979,e70,2020-06-23,false,cliente potencial
u1914,e343,2023-06-26,true,interés en la industria
u958,e141,2019-07-18,true,trabajo actual
u523,e333,2020-06-21,true,interés general
u2115,e155,2019-11-17,true,networking
u842,e505,2020-11-10,true,posible empleador
u1675,e344,2025-03-23,true,seguimiento de ofertas
u418,e458,2023-12-18,false,posible empleador
u909,e518,2021-05-28,true,trabajo actual
u1185,e430,2024-05-25,true,cliente potencial
u498,e251,2026-01-31,false,posible empleador
u26,e385,2023-09-29,false,trabajo actual
u1659,e168,2023-11-05,false,networking
u101,e401,2021-11-05,true,trabajo actual
u104,e131,2020-08-07,true,cliente potencial
u269,e276,2024-06-09,true,interés en la industria
u867,e148,2023-07-16,false,seguimiento de ofertas
u249,e12,2025-03-01,false,networking
u1898,e265,2021-12-10,false,seguimiento de ofertas
u2135,e230,2020-03-16,true,posible empleador
u453,e424,2019-08-06,true,posible empleador
u1298,e91,2026-07-19,false,seguimiento de ofertas
u67,e439,2026-04-02,true,interés general
u660,e105,2021-10-19,true,cliente potencial
u1456,e157,2020-11-13,true,cliente potencial
u1409,e83,2026-10-05,true,seguimiento de ofertas
u5,e75,2020-06-07,false,trabajo actual
u1395,e124,2022-11-02,true,networking
u1385,e300,2024-07-16,true,posible empleador
u282,e354,2024-08-19,true,trabajo actual
u719,e471,2019-10-31,false,trabajo actual
u1917,e136,2026-03-23,true,interés en la industria
u1121,e268,2025-06-10,false,trabajo actual
u932,e188,2020-12-02,true,interés en la industria
u239,e152,2019-10-04,false,networking
u1305,e234,2023-05-02,true,interés general
u531,e42,2023-06-10,false,seguimiento de ofertas
u1938,e80,2024-04-05,false,seguimiento de ofertas
u1527,e123,2026-10-12,true,ex empleador
u989,e483,2020-03-13,true,networking
u1234,e424,2024-03-19,false,interés en la industria
u1531,e172,2022-09-22,false,interés general
u367,e129,2025-09-22,false,ex empleador
u643,e314,2022-11-12,true,ex empleador
u11,e481,2024-04-17,false,interés general
u1416,e254,2022-10-27,true,interés en la industria
u666,e398,2023-03-06,false,trabajo actual
u60,e210,2019-06-22,true,ex empleador
u1799,e413,2025-11-04,true,cliente potencial
u1374,e478,2022-06-17,true,ex empleador
u1895,e540,2020-11-04,true,posible empleador
u331,e441,2025-03-16,true,cliente potencial
u434,e535,2019-11-29,true,interés general
u1575,e262,2021-11-01,true,interés en la industria
u2024,e529,2022-10-25,false,interés en la industria
u343,e175,2025-07-01,false,networking
u384,e453,2023-05-23,true,posible empleador
u2179,e179,2022-07-17,false,trabajo actual
u1208,e420,2021-08-15,true,ex empleador
u2151,e191,2023-12-11,true,ex empleador
u1319,e519,2023-05-15,true,cliente potencial
u1227,e141,2025-10-22,false,ex empleador
u543,e96,2022-11-22,false,cliente potencial
u1642,e84,2026-04-20,true,interés general
u940,e123,2020-03-12,true,trabajo actual
u211,e32,2025-05-29,false,trabajo actual
u449,e273,2022-04-16,true,seguimiento de ofertas
u1578,e342,2026-12-12,true,interés general
u1883,e462,2020-05-27,false,seguimiento de ofertas
u1462,e411,2022-01-28,true,interés general
u1361,e358,2019-05-11,false,ex empleador
u372,e428,2025-01-01,false,seguimiento de ofertas
u1685,e183,2024-07-22,false,ex empleador
u58,e349,2026-03-02,false,interés en la industria
u752,e336,2019-07-07,true,interés general
u1979,e424,2025-02-27,false,interés en la industria
u19,e53,2019-08-22,true,trabajo actual
u727,e307,2019-07-03,false,seguimiento de ofertas
u1606,e319,2025-07-06,false,interés en la industria
u331,e432,2021-02-09,true,cliente potencial
u606,e31,2021-10-21,true,ex empleador
u2052,e319,2025-08-22,false,posible empleador
u222,e102,2026-10-21,true,interés en la industria
u844,e66,2025-08-27,true,ex empleador
u179,e476,2024-08-12,true,trabajo actual
u1658,e454,2025-05-09,false,trabajo actual
u617,e156,2026-03-17,true,networking
u1792,e96,2022-07-12,true,networking
u876,e129,2023-03-30,false,interés general
u1012,e483,2022-05-22,false,interés en la industria
u755,e29,2023-09-06,false,cliente potencial
u1088,e49,2020-05-19,false,cliente potencial
u1368,e521,2021-01-17,false,posible empleador
u501,e149,2022-02-22,true,trabajo actual
u45,e155,2020-04-19,true,posible empleador
u938,e274,2024-05-06,false,seguimiento de ofertas
u1238,e404,2020-01-31,false,ex empleador
u1608,e316,2021-01-04,true,networking
u2083,e354,2023-10-20,true,posible empleador
u2163,e516,2020-03-24,false,ex empleador
u274,e544,2026-03-06,false,interés general
u1441,e38,2025-04-28,true,networking
u513,e418,2022-03-07,false,cliente potencial
u514,e455,2024-01-12,true,networking
u595,e140,2024-11-25,true,cliente potencial
u1448,e442,2026-01-27,true,posible empleador
u144,e189,2026-02-25,true,trabajo actual
u2043,e141,2024-06-04,true,interés en la industria
u597,e81,2019-06-01,false,cliente potencial
u1165,e277,2020-12-06,false,cliente potencial
u1438,e341,2022-03-06,true,trabajo actual
u845,e93,2026-07-27,true,ex empleador
u215,e34,2020-03-26,true,seguimiento de ofertas
u1420,e20,2019-12-13,false,networking
u1686,e351,2019-10-08,true,interés general
u846,e506,2023-06-16,false,seguimiento de ofertas
u1083,e527,2026-12-13,true,ex empleador
u1563,e388,2023-01-01,true,posible empleador
u153,e196,2020-04-20,true,posible empleador
u1297,e115,2021-01-19,false,networking
u2098,e390,2020-08-04,true,networking
u359,e148,2020-11-23,true,interés general
u81,e539,2022-08-06,false,interés en la industria
u814,e355,2021-06-22,true,interés general
u687,e236,2025-07-15,false,interés general
u16,e81,2023-11-03,false,cliente potencial
u199,e454,2021-01-05,false,networking
u2135,e519,2020-06-26,false,posible empleador
u560,e331,2021-02-25,false,interés general
u2001,e541,2019-09-19,false,trabajo actual
u62,e195,2019-03-19,true,cliente potencial
u1920,e521,2025-07-24,true,interés general
u884,e498,2024-07-11,false,interés en la industria
u208,e482,2023-10-28,true,interés en la industria
u248,e23,2025-02-10,false,cliente potencial
u463,e460,2023-08-28,false,interés en la industria
u1259,e370,2025-09-14,false,ex empleador
u1999,e336,2020-12-09,false,interés general
u270,e333,2019-08-17,true,interés general
u741,e492,2020-01-13,false,seguimiento de ofertas
u26,e37,2023-09-14,true,seguimiento de ofertas
u1492,e123,2022-03-05,true,interés general
u1363,e243,2024-03-16,true,seguimiento de ofertas
u467,e416,2021-04-11,false,interés general
u5,e316,2023-04-02,true,posible empleador
u1063,e374,2022-04-05,true,interés general
u1957,e504,2019-12-02,true,interés en la industria
u245,e451,2020-09-13,true,cliente potencial
u1249,e275,2026-04-27,true,interés general
u2043,e203,2019-06-19,false,ex empleador
u2190,e169,2026-10-12,true,trabajo actual
u1621,e265,2022-09-10,false,interés general
u1002,e480,2020-01-29,true,trabajo actual
u385,e168,2019-08-28,true,trabajo actual
u1158,e501,2023-04-21,true,cliente potencial
u1814,e495,2023-09-12,true,interés general
u170,e256,2026-11-29,false,interés en la industria
u1601,e222,2022-05-19,true,posible empleador
u1393,e201,2022-02-04,false,cliente potencial
u1259,e187,2023-07-28,true,networking
u497,e48,2024-06-17,true,networking
u728,e35,2019-10-17,false,ex empleador
u1237,e22,2026-09-23,false,interés general
u1260,e346,2026-11-08,true,interés general
u222,e394,2025-05-01,true,ex empleador
u1806,e71,2020-11-06,false,cliente potencial
u1122,e91,2024-03-04,true,trabajo actual
u1710,e305,2024-12-26,true,trabajo actual
u1353,e368,2022-08-07,true,ex empleador
u762,e330,2020-03-20,true,interés en la industria
u893,e1,2019-10-17,false,cliente potencial
u943,e288,2020-04-28,true,seguimiento de ofertas
u757,e340,2019-03-06,true,trabajo actual
u808,e105,2022-10-13,false,networking
u159,e467,2025-11-25,false,seguimiento de ofertas
u380,e230,2026-01-14,true,interés general
u635,e537,2024-09-23,true,interés general
u1681,e317,2020-11-20,false,networking
u761,e2,2025-09-15,false,interés general
u1441,e242,2021-04-25,true,interés general
u1285,e53,2023-01-08,false,cliente potencial
u1988,e327,2024-03-02,false,seguimiento de ofertas
u1853,e63,2023-05-30,true,interés en la industria
u1286,e500,2021-07-16,true,networking
u475,e107,2023-08-22,false,seguimiento de ofertas
u377,e135,2025-01-05,false,interés general
u1199,e110,2021-11-23,false,ex empleador
u1853,e149,2023-01-26,false,interés general
u414,e373,2025-09-04,true,posible empleador
u997,e201,2021-08-26,true,cliente potencial
u374,e413,2020-12-22,true,seguimiento de ofertas
u2023,e425,2021-04-11,true,posible empleador
u485,e126,2021-10-12,false,networking
u1837,e83,2021-04-27,false,interés en la industria
u1458,e498,2019-09-23,false,networking
u271,e210,2024-06-14,false,posible empleador
u2079,e346,2020-09-07,false,trabajo actual
u1230,e381,2025-01-12,true,trabajo actual
u975,e466,2019-11-14,true,posible empleador
u1268,e16,2022-12-27,true,cliente potencial
u2144,e251,2023-10-17,false,trabajo actual
u1919,e23,2019-04-10,true,interés general
u1666,e432,2026-09-18,true,interés en la industria
u932,e180,2021-12-26,true,ex empleador
u184,e257,2025-07-26,true,trabajo actual
u396,e208,2025-10-30,false,interés general
u409,e384,2026-11-21,true,posible empleador
u402,e477,2019-03-31,true,interés en la industria
u682,e20,2023-01-15,false,ex empleador
u2015,e207,2024-02-07,true,seguimiento de ofertas
u2107,e450,2020-06-17,false,networking
u364,e2,2020-09-29,true,interés en la industria
u2155,e159,2021-06-25,false,trabajo actual
u1992,e482,2023-09-24,false,ex empleador
u1927,e470,2024-11-14,false,networking
u355,e336,2020-01-15,true,seguimiento de ofertas
u1754,e319,2023-01-11,false,ex empleador
u1368,e41,2023-03-30,false,networking
u230,e6,2019-07-06,true,posible empleador
u809,e431,2021-07-30,true,interés en la industria
u1588,e350,2023-07-09,true,networking
u2140,e107,2025-08-15,true,ex empleador
u95,e519,2019-09-12,true,seguimiento de ofertas
u174,e180,2022-09-14,false,interés general
u2009,e484,2022-05-06,true,seguimiento de ofertas
u1557,e12,2025-08-30,false,interés en la industria
u474,e453,2020-04-08,false,networking
u1375,e537,2024-08-25,true,cliente potencial
u974,e286,2024-06-18,false,interés en la industria
u686,e117,2019-11-16,true,seguimiento de ofertas
u1663,e331,2026-07-05,true,interés en la industria
u1577,e106,2020-09-25,false,interés general
u1,e117,2025-05-19,false,seguimiento de ofertas
u491,e497,2019-10-03,false,networking
u1062,e255,2019-06-17,false,interés en la industria
u1399,e25,2024-09-05,false,interés general
u1519,e249,2019-07-01,true,ex empleador
u1428,e168,2026-07-12,false,cliente potencial
u590,e432,2024-11-13,false,networking
u1818,e524,2024-02-20,false,trabajo actual
u1740,e428,2023-09-16,false,interés general
u1982,e60,2020-01-05,false,cliente potencial
u129,e496,2026-10-31,false,seguimiento de ofertas
u402,e455,2024-09-30,true,posible empleador
u147,e177,2026-11-15,false,ex empleador
u1332,e278,2019-08-13,false,cliente potencial
u216,e383,2020-10-30,false,networking
u1013,e351,2021-10-08,true,seguimiento de ofertas
u397,e514,2022-12-22,true,cliente potencial
u455,e149,2020-02-16,true,seguimiento de ofertas
u2096,e428,2026-09-07,true,trabajo actual
u1026,e72,2025-11-01,true,networking
u1535,e252,2019-03-19,false,interés en la industria
u1297,e471,2026-07-22,false,posible empleador
u471,e287,2023-11-11,false,posible empleador
u2065,e311,2025-09-27,false,ex empleador
u15,e469,2019-04-08,true,trabajo actual
u2105,e268,2025-11-26,true,ex empleador
u1510,e56,2021-03-03,false,ex empleador
u713,e360,2019-05-02,true,networking
u2043,e230,2020-04-18,true,interés general
u179,e478,2024-03-19,false,cliente potencial
u1588,e200,2025-12-29,false,ex empleador
u1074,e540,2025-02-13,true,interés en la industria
u1093,e51,2024-09-16,true,seguimiento de ofertas
u754,e274,2025-08-04,false,interés general
u958,e519,2021-08-30,false,interés general
u1551,e412,2025-03-16,true,posible empleador
u2019,e541,2023-01-09,false,cliente potencial
u1829,e289,2022-08-21,true,trabajo actual
u2169,e121,2019-05-18,false,cliente potencial
u1437,e323,2020-07-31,false,networking
u91,e367,2023-01-17,false,posible empleador
u1455,e538,2019-10-13,true,interés en la industria
u413,e238,2024-03-04,false,interés general
u1219,e109,2021-05-26,false,seguimiento de ofertas
u333,e270,2023-03-08,true,interés en la industria
u382,e423,2020-09-17,true,interés en la industria
u676,e386,2019-06-29,true,cliente potencial
u1932,e106,2025-02-03,false,cliente potencial
u1735,e79,2020-04-27,false,interés en la industria
u1521,e373,2026-03-08,false,posible empleador
u1427,e540,2023-12-16,false,posible empleador
u2013,e217,2025-01-18,true,trabajo actual
u890,e260,2019-01-29,true,trabajo actual
u2154,e271,2023-07-09,false,interés general
u2156,e245,2023-07-30,false,networking
u300,e432,2026-10-16,true,posible empleador
u582,e306,2020-11-14,true,ex empleador
u1516,e369,2022-02-22,false,interés general
u257,e100,2023-03-22,false,networking
u1931,e360,2022-06-03,true,networking
u1981,e254,2024-02-28,true,networking
u1858,e108,2019-01-24,true,interés general
u762,e174,2025-08-28,true,seguimiento de ofertas
u445,e359,2021-04-30,true,cliente potencial
u991,e439,2025-12-01,true,interés en la industria
u591,e241,2025-09-23,true,posible empleador
u924,e372,2020-05-23,false,seguimiento de ofertas
u482,e409,2021-05-12,true,networking
u773,e65,2026-09-15,true,networking
u946,e156,2021-08-01,true,posible empleador
u361,e319,2020-01-16,false,interés general
u2164,e108,2024-12-05,false,ex empleador
u1373,e387,2024-01-25,true,trabajo actual
u2028,e193,2019-01-28,false,trabajo actual
u738,e179,2024-02-02,true,trabajo actual
u1939,e401,2020-07-29,false,interés en la industria
u436,e151,2020-12-20,true,interés en la industria
u725,e424,2025-06-20,false,ex empleador
u1419,e81,2022-11-26,false,posible empleador
u127,e100,2024-04-06,false,interés general
u1772,e544,2019-07-10,false,networking
u1826,e322,2024-03-11,false,networking
u1830,e32,2021-08-01,true,interés en la industria
u379,e442,2025-09-13,true,interés general
u97,e69,2021-02-07,false,trabajo actual
u163,e114,2022-07-21,false,interés general
u1672,e295,2020-10-28,true,ex empleador
u70,e163,2021-04-10,true,ex empleador
u1991,e239,2026-02-04,true,trabajo actual
u1354,e509,2026-04-12,false,cliente potencial
u768,e198,2023-01-14,false,interés general
u101,e348,2021-09-13,false,interés general
u1504,e5,2024-10-23,true,trabajo actual
u586,e311,2025-12-06,false,cliente potencial
u752,e103,2021-09-23,true,interés general
u1493,e161,2024-12-22,true,ex empleador
u449,e254,2024-02-28,false,trabajo actual
u2133,e494,2024-05-17,true,ex empleador
u1741,e324,2025-08-23,true,posible empleador
u1355,e295,2024-01-09,true,cliente potencial
u860,e421,2025-07-02,true,networking
u1361,e140,2023-04-21,true,networking
u579,e9,2021-04-01,true,ex empleador
u275,e198,2021-04-18,true,ex empleador
u1017,e70,2023-12-17,false,cliente potencial
u1059,e74,2023-05-29,false,cliente potencial
u2019,e71,2020-05-10,false,cliente potencial
u251,e155,2026-10-01,true,interés en la industria
u1503,e415,2022-12-09,false,cliente potencial
u1960,e470,2020-08-23,false,interés en la industria
u103,e329,2022-09-11,true,networking
u201,e421,2019-07-11,true,interés general
u1080,e149,2025-01-26,true,trabajo actual
u828,e3,2021-02-21,false,trabajo actual
u938,e398,2026-09-30,true,cliente potencial
u798,e400,2024-08-23,true,interés en la industria
u1026,e57,2019-07-22,true,trabajo actual
u1157,e34,2026-01-15,true,trabajo actual
u180,e34,2024-04-10,false,networking
u501,e207,2020-06-10,true,networking
u451,e121,2021-11-17,true,interés general
u1419,e307,2023-07-07,true,seguimiento de ofertas
u1177,e108,2025-01-25,false,interés general
u1441,e86,2023-11-15,true,interés general
u1771,e461,2026-05-28,true,ex empleador
u1229,e369,2022-05-25,false,posible empleador
u1960,e156,2024-10-11,true,cliente potencial
u1269,e106,2022-09-25,true,interés general
u492,e41,2019-06-10,false,trabajo actual
u1236,e464,2022-07-27,true,cliente potencial
u923,e379,2020-01-02,false,ex empleador
u1200,e296,2020-05-18,false,interés en la industria
u125,e306,2019-08-29,false,cliente potencial
u654,e10,2025-12-10,true,posible empleador
u163,e12,2019-10-21,true,networking
u1056,e451,2023-03-20,false,seguimiento de ofertas
u794,e450,2020-04-19,true,interés en la industria
u86,e393,2024-09-30,true,interés general
u1526,e372,2024-04-02,true,interés en la industria
u930,e480,2025-02-06,false,trabajo actual
u730,e314,2026-04-29,true,trabajo actual
u801,e9,2022-06-16,false,interés en la industria
u1183,e134,2021-08-13,false,ex empleador
u345,e251,2019-06-04,false,ex empleador
u1537,e164,2025-11-22,true,seguimiento de ofertas
u1773,e108,2024-12-05,true,interés en la industria
u1340,e264,2023-07-15,false,interés general
u1355,e542,2026-11-04,true,trabajo actual
u1167,e351,2026-04-05,true,cliente potencial
u569,e466,2021-08-28,false,seguimiento de ofertas
u1442,e343,2022-11-08,true,interés en la industria
u754,e377,2019-07-01,true,ex empleador
u937,e503,2021-03-24,true,ex empleador
u1737,e524,2021-11-16,false,seguimiento de ofertas
u836,e71,2025-10-03,true,cliente potencial
u334,e473,2026-07-22,false,interés en la industria
u684,e61,2021-01-03,false,interés en la industria
u1537,e184,2026-04-29,false,cliente potencial
u1123,e48,2022-08-26,false,ex empleador
u2057,e472,2023-02-19,true,interés en la industria
u1218,e53,2025-11-27,false,trabajo actual
u1782,e404,2021-04-16,true,trabajo actual
u2134,e181,2022-10-31,false,interés en la industria
u304,e46,2026-06-02,true,cliente potencial
u570,e433,2020-07-16,false,trabajo actual
u60,e110,2025-06-07,false,trabajo actual
u563,e543,2021-12-17,true,ex empleador
u1117,e347,2023-04-25,true,ex empleador
u168,e14,2021-07-09,false,seguimiento de ofertas
u1114,e338,2020-06-22,true,ex empleador
u1316,e436,2019-05-25,true,networking
u551,e522,2022-05-16,false,trabajo actual
u1712,e110,2022-06-01,false,interés general
u234,e506,2026-02-04,true,ex empleador
u889,e19,2026-03-30,false,trabajo actual
u1430,e164,2022-03-10,false,posible empleador
u1145,e370,2023-01-28,true,ex empleador
u1963,e509,2022-03-01,true,interés general
u1230,e320,2022-10-10,false,posible empleador
u466,e162,2023-03-12,false,interés general
u492,e50,2026-04-13,true,interés general
u1896,e525,2023-12-16,true,seguimiento de ofertas
u20,e26,2020-03-02,true,interés general
u882,e43,2023-02-09,true,trabajo actual
u751,e479,2024-01-20,true,cliente potencial
u42,e435,2025-05-06,false,seguimiento de ofertas
u780,e67,2019-04-15,true,ex empleador
u1062,e399,2024-03-04,true,seguimiento de ofertas
u951,e80,2019-08-12,true,seguimiento de ofertas
u1935,e502,2025-04-01,true,networking
u1807,e208,2026-11-16,true,interés en la industria
u969,e447,2023-04-24,false,seguimiento de ofertas
u1702,e56,2020-09-26,false,seguimiento de ofertas
u683,e227,2022-06-10,true,posible empleador
u472,e358,2019-07-14,true,posible empleador
u931,e48,2021-06-13,true,interés general
u1447,e186,2025-09-14,false,trabajo actual
u331,e539,2020-03-02,false,seguimiento de ofertas
u1943,e65,2022-04-19,false,interés general
u1612,e253,2022-05-19,true,networking
u1115,e261,2020-03-06,true,networking
u1508,e76,2019-02-04,true,interés general
u1888,e144,2024-02-17,false,seguimiento de ofertas
u764,e295,2024-09-28,false,interés general
u1190,e268,2021-08-05,true,seguimiento de ofertas
u1916,e314,2022-03-09,true,networking
u301,e72,2022-02-27,false,interés en la industria
u1919,e518,2025-04-05,true,networking
u262,e118,2021-03-15,true,interés en la industria
u276,e63,2020-03-14,false,interés general
u1670,e64,2023-07-02,true,ex empleador
u439,e267,2025-08-02,true,seguimiento de ofertas
u1436,e356,2021-02-07,true,trabajo actual
u455,e66,2020-09-06,true,cliente potencial
u126,e485,2025-05-07,true,interés general
u172,e484,2019-01-23,false,seguimiento de ofertas
u546,e196,2020-09-29,false,trabajo actual
u1799,e304,2025-09-06,true,posible empleador
u2020,e233,2024-10-22,false,networking
u1823,e46,2021-05-12,true,seguimiento de ofertas
u375,e454,2025-04-27,false,ex empleador
u791,e188,2026-04-16,false,trabajo actual
u1107,e265,2020-09-01,true,ex empleador
u418,e543,2024-06-23,false,posible empleador
u2084,e103,2022-12-14,true,interés general
u1604,e35,2022-05-25,true,trabajo actual
u1437,e190,2024-08-13,false,interés general
u358,e210,2021-10-02,true,interés en la industria
u1539,e215,2026-09-14,true,ex empleador
u227,e289,2019-05-17,true,posible empleador
u1659,e483,2021-06-09,true,interés general
u1186,e382,2021-03-12,true,seguimiento de ofertas
u325,e317,2022-11-28,false,seguimiento de ofertas
u1917,e26,2024-12-02,true,seguimiento de ofertas
u595,e85,2026-10-23,false,seguimiento de ofertas
u1861,e142,2025-08-17,true,cliente potencial
u1148,e116,2019-07-12,false,ex empleador
u82,e303,2021-06-29,false,seguimiento de ofertas
u678,e29,2025-03-07,false,trabajo actual
u758,e20,2023-07-24,true,interés en la industria
u1794,e133,2020-06-25,false,interés en la industria
u542,e294,2024-03-27,true,interés general
u1886,e163,2021-06-30,false,interés general
u110,e382,2022-07-24,false,interés general
u505,e289,2021-04-21,true,ex empleador
u1951,e513,2019-07-17,false,seguimiento de ofertas
u664,e286,2021-12-10,false,interés general
u179,e507,2025-12-25,false,trabajo actual
u100,e334,2023-07-20,false,cliente potencial
u1642,e165,2025-05-29,true,seguimiento de ofertas
u786,e254,2022-05-30,false,posible empleador
u1741,e297,2021-10-30,false,seguimiento de ofertas
u1652,e399,2020-11-27,true,trabajo actual
u1029,e493,2023-12-04,true,networking
