usuario_id,educacion_id,fecha_inicio,fecha_graduacion,graduado
u794,ed197,2019-01-01,2022-06-15,true
u1302,ed25,2018-01-01,2021-06-15,true
u2133,ed14,2012-01-01,2018-06-15,true
u1036,ed392,2018-01-01,2023-06-15,true
u2109,ed7,2019-01-01,,false
u1067,ed389,2020-01-01,2025-06-15,true
u1839,ed215,2006-01-01,,false
u1330,ed180,2015-01-01,2019-06-15,true
u1241,ed117,2019-01-01,2023-06-15,true
u120,ed243,2015-01-01,,false
u7,ed35,2006-01-01,,false
u518,ed41,2019-01-01,2025-06-15,true
u365,ed326,2010-01-01,,false
u366,ed67,2017-01-01,,false
u1753,ed265,2012-01-01,,false
u225,ed113,2011-01-01,2016-06-15,true
u1399,ed50,2019-01-01,,false
u657,ed86,2017-01-01,,false
u2182,ed177,2008-01-01,2012-06-15,true
u1958,ed150,2020-01-01,,false
u1697,ed84,2010-01-01,,false
u1746,ed309,2018-01-01,,false
u1370,ed221,2006-01-01,,false
u1602,ed39,2018-01-01,,false
u2128,ed196,2017-01-01,2022-06-15,true
u1784,ed256,2011-01-01,,false
u930,ed100,2005-01-01,2008-06-15,true
u2111,ed258,2017-01-01,2020-06-15,true
u1997,ed408,2013-01-01,2018-06-15,true
u1946,ed307,2018-01-01,2024-06-15,true
u1585,ed123,2018-01-01,2024-06-15,true
u686,ed64,2017-01-01,2022-06-15,true
u1122,ed274,2015-01-01,,false
u1573,ed361,2009-01-01,2014-06-15,true
u731,ed76,2007-01-01,,false
u200,ed31,2013-01-01,,false
u1217,ed244,2016-01-01,,false
u2017,ed432,2007-01-01,2012-06-15,true
u2144,ed375,2012-01-01,,false
u790,ed237,2019-01-01,2023-06-15,true
u505,ed386,2007-01-01,,false
u1022,ed82,2015-01-01,2018-06-15,true
u1058,ed93,2007-01-01,,false
u1752,ed78,2011-01-01,2016-06-15,true
u166,ed302,2009-01-01,2015-06-15,true
u2193,ed190,2006-01-01,,false
u516,ed377,2005-01-01,2011-06-15,true
u1322,ed319,2009-01-01,,false
u2198,ed339,2008-01-01,2011-06-15,true
u1062,ed167,2012-01-01,2016-06-15,true
u2019,ed296,2015-01-01,2019-06-15,true
u2059,ed402,2017-01-01,,false
u318,ed384,2016-01-01,2021-06-15,true
u876,ed60,2015-01-01,2021-06-15,true
u4,ed121,2007-01-01,,false
u621,ed63,2015-01-01,,false
u847,ed65,2009-01-01,,false
u677,ed99,2014-01-01,2020-06-15,true
u1502,ed417,2017-01-01,,false
u2015,ed131,2005-01-01,2008-06-15,true
u2121,ed295,2014-01-01,,false
u2083,ed346,2010-01-01,2013-06-15,true
u32,ed110,2014-01-01,,false
u605,ed24,2007-01-01,,false
u1614,ed285,2016-01-01,,false
u1906,ed401,2015-01-01,2019-06-15,true
u1917,ed360,2012-01-01,,false
u1551,ed353,2008-01-01,2013-06-15,true
u324,ed391,2019-01-01,,false
u362,ed91,2010-01-01,,false
u378,ed129,2012-01-01,2017-06-15,true
u1150,ed202,2020-01-01,2025-06-15,true
u2133,ed356,2011-01-01,2014-06-15,true
u348,ed147,2007-01-01,2011-06-15,true
u1177,ed146,2008-01-01,,false
u1103,ed56,2010-01-01,,false
u1361,ed118,2015-01-01,2020-06-15,true
u97,ed428,2015-01-01,2018-06-15,true
u1736,ed1,2014-01-01,,false
u674,ed149,2006-01-01,2012-06-15,true
u1441,ed13,2017-01-01,,false
u373,ed368,2008-01-01,,false
u1163,ed306,2009-01-01,2012-06-15,true
u440,ed251,2016-01-01,,false
u1139,ed438,2006-01-01,2010-06-15,true
u1131,ed259,2017-01-01,,false
u2138,ed74,2017-01-01,2020-06-15,true
u1407,ed114,2006-01-01,2011-06-15,true
u2050,ed112,2005-01-01,2010-06-15,true
u824,ed138,2019-01-01,,false
u1064,ed329,2010-01-01,2014-06-15,true
u293,ed210,2008-01-01,2013-06-15,true
u697,ed216,2014-01-01,2018-06-15,true
u1958,ed355,2011-01-01,2016-06-15,true
u1137,ed288,2007-01-01,2012-06-15,true
u1420,ed227,2011-01-01,,false
u809,ed321,2006-01-01,2009-06-15,true
u412,ed51,2016-01-01,2022-06-15,true
u24,ed226,2011-01-01,2017-06-15,true
u718,ed242,2013-01-01,,false
u1779,ed323,2008-01-01,2013-06-15,true
u782,ed2,2005-01-01,,false
u257,ed32,2008-01-01,2014-06-15,true
u963,ed208,2007-01-01,,false
u206,ed261,2008-01-01,,false
u1067,ed40,2013-01-01,,false
u1732,ed314,2007-01-01,,false
u1498,ed160,2014-01-01,,false
u1805,ed363,2017-01-01,,false
u1278,ed369,2013-01-01,2017-06-15,true
u49,ed15,2011-01-01,2015-06-15,true
u548,ed249,2007-01-01,,false
u472,ed254,2020-01-01,2025-06-15,true
u1158,ed102,2006-01-01,2012-06-15,true
u276,ed345,2009-01-01,,false
u38,ed257,2016-01-01,2021-06-15,true
u202,ed135,2018-01-01,,false
u450,ed195,2010-01-01,,false
u81,ed193,2014-01-01,,false
u95,ed263,2015-01-01,,false
u561,ed95,2018-01-01,,false
u2167,ed276,2006-01-01,,false
u1792,ed79,2010-01-01,,false
u531,ed260,2008-01-01,,false
u67,ed405,2009-01-01,2012-06-15,true
u1391,ed338,2006-01-01,,false
u2163,ed376,2019-01-01,,false
u591,ed58,2005-01-01,,false
u1834,ed387,2016-01-01,2021-06-15,true
u1987,ed46,2010-01-01,2014-06-15,true
u966,ed421,2005-01-01,2008-06-15,true
u797,ed27,2019-01-01,2025-06-15,true
u2091,ed379,2019-01-01,,false
u1606,ed341,2018-01-01,,false
u1728,ed294,2020-01-01,2023-06-15,true
u2197,ed289,2005-01-01,2008-06-15,true
u1212,ed101,2008-01-01,2013-06-15,true
u715,ed89,2017-01-01,2020-06-15,true
u1967,ed23,2009-01-01,,false
u1680,ed88,2005-01-01,2009-06-15,true
u2043,ed28,2012-01-01,,false
u2000,ed311,2017-01-01,2021-06-15,true
u1466,ed250,2013-01-01,2019-06-15,true
u1809,ed410,2008-01-01,,false
u1025,ed423,2015-01-01,2018-06-15,true
u61,ed434,2014-01-01,,false
u47,ed414,2018-01-01,,false
u675,ed367,2015-01-01,2019-06-15,true
u846,ed21,2006-01-01,,false
u1487,ed335,2011-01-01,,false
u550,ed372,2015-01-01,,false
u1408,ed170,2005-01-01,,false
u578,ed351,2017-01-01,2022-06-15,true
u425,ed105,2009-01-01,2014-06-15,true
u1236,ed120,2012-01-01,2016-06-15,true
u289,ed142,2007-01-01,2010-06-15,true
u484,ed144,2015-01-01,2021-06-15,true
u130,ed374,2011-01-01,2014-06-15,true
u19,ed312,2006-01-01,2009-06-15,true
u1965,ed29,2017-01-01,2022-06-15,true
u1347,ed317,2006-01-01,,false
u409,ed199,2009-01-01,2012-06-15,true
u117,ed148,2020-01-01,,false
u208,ed354,2010-01-01,2015-06-15,true
u1519,ed171,2016-01-01,2021-06-15,true
u380,ed413,2017-01-01,2021-06-15,true
u901,ed213,2009-01-01,,false
u2022,ed419,2017-01-01,,false
u1235,ed168,2017-01-01,,false
u1035,ed174,2005-01-01,,false
u512,ed104,2011-01-01,,false
u1419,ed269,2011-01-01,2014-06-15,true
u57,ed303,2005-01-01,2009-06-15,true
u1028,ed59,2012-01-01,2016-06-15,true
u2142,ed145,2011-01-01,,false
u1926,ed337,2007-01-01,,false
u1182,ed352,2008-01-01,,false
u978,ed203,2014-01-01,2018-06-15,true
u855,ed327,2013-01-01,2019-06-15,true
u475,ed315,2009-01-01,2015-06-15,true
u1676,ed336,2006-01-01,2009-06-15,true
u55,ed136,2013-01-01,,false
u831,ed426,2008-01-01,,false
u74,ed431,2017-01-01,2023-06-15,true
u1494,ed179,2015-01-01,2020-06-15,true
u1241,ed404,2007-01-01,2010-06-15,true
u414,ed55,2010-01-01,,false
u2106,ed433,2006-01-01,2010-06-15,true
u1099,ed156,2009-01-01,,false
u1542,ed12,2010-01-01,2013-06-15,true
u1831,ed54,2017-01-01,,false
u931,ed266,2014-01-01,,false
u1415,ed192,2012-01-01,,false
u1699,ed207,2008-01-01,2011-06-15,true
u1979,ed291,2015-01-01,,false
u1420,ed10,2012-01-01,2017-06-15,true
u439,ed275,2009-01-01,2012-06-15,true
u1773,ed223,2005-01-01,2008-06-15,true
u1254,ed211,2019-01-01,,false
u1166,ed6,2010-01-01,2013-06-15,true
u1362,ed181,2006-01-01,,false
u985,ed92,2013-01-01,2016-06-15,true
u724,ed143,2007-01-01,2013-06-15,true
u463,ed304,2016-01-01,,false
u122,ed248,2011-01-01,2015-06-15,true
u594,ed297,2013-01-01,2017-06-15,true
u285,ed224,2005-01-01,,false
u1119,ed422,2020-01-01,2023-06-15,true
u1069,ed106,2016-01-01,2022-06-15,true
u1652,ed298,2014-01-01,,false
u1929,ed228,2011-01-01,2014-06-15,true
u334,ed340,2009-01-01,2015-06-15,true
u517,ed17,2005-01-01,,false
u615,ed235,2013-01-01,2018-06-15,true
u580,ed205,2014-01-01,,false
u465,ed97,2006-01-01,,false
u1713,ed217,2016-01-01,,false
u1003,ed230,2012-01-01,2015-06-15,true
u1745,ed111,2005-01-01,,false
u494,ed22,2014-01-01,2018-06-15,true
u1603,ed83,2008-01-01,,false
u1818,ed443,2008-01-01,,false
u198,ed347,2016-01-01,2021-06-15,true
u921,ed169,2005-01-01,,false
u1088,ed287,2012-01-01,,false
u1398,ed444,2012-01-01,,false
u433,ed127,2019-01-01,,false
u864,ed313,2019-01-01,,false
u2121,ed316,2020-01-01,2025-06-15,true
u1945,ed73,2005-01-01,,false
u1324,ed37,2008-01-01,,false
u1290,ed236,2014-01-01,2020-06-15,true
u1425,ed415,2012-01-01,2017-06-15,true
u1687,ed18,2013-01-01,2017-06-15,true
u377,ed357,2017-01-01,2023-06-15,true
u1988,ed427,2014-01-01,,false
u588,ed320,2014-01-01,,false
u1820,ed396,2007-01-01,2011-06-15,true
u585,ed155,2011-01-01,,false
u1770,ed358,2010-01-01,2013-06-15,true
u1885,ed140,2008-01-01,2011-06-15,true
u880,ed62,2012-01-01,2017-06-15,true
u1614,ed370,2020-01-01,2026-06-15,true
u1877,ed130,2013-01-01,2017-06-15,true
u2154,ed0,2012-01-01,,false
u898,ed264,2008-01-01,,false
u633,ed305,2005-01-01,,false
u444,ed240,2010-01-01,2016-06-15,true
u339,ed333,2011-01-01,,false
u1889,ed20,2012-01-01,,false
u794,ed48,2011-01-01,,false
u150,ed328,2011-01-01,,false
u1034,ed162,2019-01-01,,false
u66,ed286,2008-01-01,,false
u1440,ed4,2010-01-01,,false
u1769,ed108,2008-01-01,2012-06-15,true
u869,ed447,2009-01-01,,false
u1656,ed225,2009-01-01,2013-06-15,true
u1767,ed125,2008-01-01,2013-06-15,true
u839,ed270,2007-01-01,,false
u758,ed277,2010-01-01,,false
u310,ed449,2020-01-01,2023-06-15,true
u89,ed371,2018-01-01,2022-06-15,true
u1035,ed322,2005-01-01,,false
u927,ed26,2015-01-01,2019-06-15,true
u770,ed348,2011-01-01,2016-06-15,true
u1814,ed388,2016-01-01,,false
u880,ed188,2016-01-01,2022-06-15,true
u1253,ed173,2005-01-01,,false
u957,ed154,2008-01-01,,false
u874,ed184,2006-01-01,2011-06-15,true
u1237,ed299,2018-01-01,2022-06-15,true
u1045,ed246,2014-01-01,2017-06-15,true
u1603,ed293,2020-01-01,2025-06-15,true
u712,ed85,2009-01-01,,false
u1145,ed191,2005-01-01,,false
u544,ed172,2015-01-01,,false
u1162,ed435,2012-01-01,2016-06-15,true
u1192,ed34,2020-01-01,2026-06-15,true
u1125,ed19,2016-01-01,,false
u827,ed132,2019-01-01,2024-06-15,true
u476,ed115,2020-01-01,2025-06-15,true
u161,ed11,2016-01-01,,false
u1638,ed279,2020-01-01,,false
u5,ed283,2017-01-01,2021-06-15,true
u2018,ed133,2017-01-01,,false
u1655,ed53,2014-01-01,2017-06-15,true
u338,ed416,2010-01-01,,false
u63,ed96,2019-01-01,2022-06-15,true
u1204,ed239,2014-01-01,,false
u264,ed70,2008-01-01,,false
u1181,ed446,2007-01-01,2011-06-15,true
u1813,ed364,2012-01-01,2015-06-15,true
u968,ed385,2017-01-01,2020-06-15,true
u1236,ed137,2020-01-01,,false
u1405,ed166,2015-01-01,2020-06-15,true
u2090,ed119,2013-01-01,2016-06-15,true
u68,ed359,2020-01-01,2023-06-15,true
u446,ed44,2011-01-01,2014-06-15,true
u1644,ed5,2006-01-01,2012-06-15,true
u1174,ed439,2013-01-01,2017-06-15,true
u635,ed292,2007-01-01,,false
u1563,ed318,2018-01-01,,false
u126,ed440,2007-01-01,2012-06-15,true
u1781,ed394,2005-01-01,2011-06-15,true
u1704,ed77,2005-01-01,,false
u1923,ed398,2012-01-01,2017-06-15,true
u699,ed103,2008-01-01,,false
u1993,ed214,2005-01-01,,false
u1044,ed68,2014-01-01,2019-06-15,true
u2180,ed445,2013-01-01,,false
u1972,ed252,2010-01-01,2016-06-15,true
u1322,ed204,2012-01-01,,false
u534,ed412,2013-01-01,,false
u971,ed300,2016-01-01,2022-06-15,true
u1662,ed151,2016-01-01,2022-06-15,true
u2098,ed344,2015-01-01,2021-06-15,true
u1699,ed424,2011-01-01,,false
u1134,ed75,2010-01-01,2016-06-15,true
u266,ed186,2010-01-01,2015-06-15,true
u1985,ed141,2019-01-01,2022-06-15,true
u907,ed278,2006-01-01,2009-06-15,true
u1655,ed183,2009-01-01,,false
u805,ed350,2015-01-01,2019-06-15,true
u893,ed80,2016-01-01,,false
u1900,ed139,2014-01-01,2019-06-15,true
u1184,ed437,2009-01-01,,false
u2075,ed331,2019-01-01,2023-06-15,true
u1789,ed81,2015-01-01,2020-06-15,true
u1789,ed161,2006-01-01,2011-06-15,true
u1394,ed418,2008-01-01,2013-06-15,true
u1550,ed66,2009-01-01,,false
u915,ed212,2008-01-01,2012-06-15,true
u324,ed380,2018-01-01,2021-06-15,true
u1843,ed57,2016-01-01,2022-06-15,true
u852,ed308,2016-01-01,2019-06-15,true
u1645,ed245,2012-01-01,,false
u1990,ed268,2005-01-01,,false
u125,ed185,2008-01-01,,false
u7,ed365,2007-01-01,,false
u1060,ed362,2007-01-01,2011-06-15,true
u1303,ed45,2008-01-01,2013-06-15,true
u1806,ed49,2005-01-01,,false
u134,ed383,2010-01-01,,false
u1863,ed425,2007-01-01,2010-06-15,true
u345,ed187,2019-01-01,2025-06-15,true
u642,ed343,2019-01-01,,false
u960,ed409,2016-01-01,,false
u1924,ed429,2013-01-01,2019-06-15,true
u2002,ed109,2008-01-01,2013-06-15,true
u59,ed442,2010-01-01,2016-06-15,true
u761,ed165,2011-01-01,2015-06-15,true
u1237,ed411,2017-01-01,2021-06-15,true
u2193,ed282,2011-01-01,2017-06-15,true
u1034,ed159,2010-01-01,2013-06-15,true
u412,ed3,2017-01-01,,false
u2105,ed229,2017-01-01,,false
u1472,ed395,2016-01-01,,false
u986,ed42,2005-01-01,,false
u841,ed209,2010-01-01,2015-06-15,true
u1306,ed153,2007-01-01,,false
u1967,ed52,2014-01-01,,false
u996,ed272,2012-01-01,2016-06-15,true
u2163,ed330,2020-01-01,2026-06-15,true
u468,ed222,2014-01-01,2017-06-15,true
u1128,ed198,2006-01-01,2011-06-15,true
u1224,ed182,2020-01-01,2025-06-15,true
u69,ed178,2019-01-01,2025-06-15,true
u2190,ed357,2019-01-01,,false
u1500,ed308,2014-01-01,2018-06-15,true
u2160,ed160,2005-01-01,,false
u297,ed47,2015-01-01,,false
u1190,ed166,2009-01-01,2012-06-15,true
u1387,ed290,2005-01-01,,false
u207,ed80,2007-01-01,2010-06-15,true
u170,ed293,2012-01-01,2016-06-15,true
u1260,ed203,2011-01-01,2016-06-15,true
u187,ed428,2006-01-01,2012-06-15,true
u1244,ed413,2011-01-01,2017-06-15,true
u568,ed162,2009-01-01,,false
u620,ed99,2020-01-01,,false
u701,ed246,2019-01-01,2025-06-15,true
u1969,ed26,2020-01-01,,false
u1933,ed320,2014-01-01,,false
u2111,ed134,2020-01-01,,false
u1891,ed11,2012-01-01,,false
u609,ed74,2013-01-01,,false
u137,ed337,2011-01-01,2014-06-15,true
u1233,ed184,2012-01-01,,false
u1811,ed422,2012-01-01,,false
u1871,ed220,2020-01-01,,false
u1741,ed234,2010-01-01,2016-06-15,true
u1416,ed61,2006-01-01,2012-06-15,true
u1082,ed430,2006-01-01,2011-06-15,true
u1311,ed221,2005-01-01,,false
u1139,ed259,2017-01-01,,false
u1760,ed178,2010-01-01,2013-06-15,true
u313,ed447,2008-01-01,,false
u1799,ed110,2009-01-01,2014-06-15,true
u1993,ed285,2018-01-01,,false
u957,ed96,2017-01-01,,false
u676,ed198,2012-01-01,,false
u1029,ed234,2009-01-01,2012-06-15,true
u439,ed211,2016-01-01,,false
u253,ed320,2012-01-01,,false
u1748,ed189,2009-01-01,,false
u1514,ed384,2018-01-01,2021-06-15,true
u263,ed175,2010-01-01,,false
u1745,ed173,2008-01-01,,false
u77,ed427,2010-01-01,,false
u1306,ed54,2015-01-01,,false
u1148,ed88,2018-01-01,2021-06-15,true
u44,ed253,2018-01-01,2021-06-15,true
u261,ed294,2011-01-01,2014-06-15,true
u1051,ed185,2020-01-01,2024-06-15,true
u1545,ed19,2020-01-01,2025-06-15,true
u114,ed303,2012-01-01,,false
u2068,ed255,2005-01-01,,false
u1047,ed161,2018-01-01,2024-06-15,true
u2103,ed212,2005-01-01,,false
u24,ed279,2018-01-01,,false
u1016,ed276,2007-01-01,2010-06-15,true
u1605,ed71,2019-01-01,2024-06-15,true
u1607,ed68,2010-01-01,,false
u1608,ed225,2013-01-01,2016-06-15,true
u1719,ed386,2006-01-01,2010-06-15,true
u1649,ed40,2011-01-01,2017-06-15,true
u624,ed415,2008-01-01,,false
u1271,ed91,2008-01-01,2011-06-15,true
u1077,ed142,2020-01-01,,false
u2187,ed111,2012-01-01,,false
u886,ed326,2012-01-01,,false
u281,ed149,2006-01-01,,false
u2116,ed136,2007-01-01,2013-06-15,true
u1175,ed147,2013-01-01,2018-06-15,true
u1307,ed427,2020-01-01,,false
u1793,ed259,2010-01-01,2014-06-15,true
u65,ed57,2007-01-01,,false
u3,ed344,2010-01-01,,false
u761,ed234,2018-01-01,2021-06-15,true
u1736,ed218,2019-01-01,2024-06-15,true
u1381,ed198,2016-01-01,2021-06-15,true
u853,ed224,2013-01-01,2017-06-15,true
u1464,ed311,2015-01-01,,false
u582,ed431,2010-01-01,,false
u890,ed68,2017-01-01,,false
u831,ed382,2017-01-01,,false
u1094,ed170,2017-01-01,2023-06-15,true
u2123,ed409,2010-01-01,,false
u42,ed291,2005-01-01,,false
u2081,ed192,2020-01-01,2023-06-15,true
u1655,ed238,2010-01-01,,false
u1546,ed18,2005-01-01,2011-06-15,true
u207,ed270,2014-01-01,,false
u30,ed157,2006-01-01,,false
u100,ed383,2018-01-01,,false
u1556,ed268,2020-01-01,,false
u1197,ed354,2006-01-01,2011-06-15,true
u1026,ed265,2012-01-01,2016-06-15,true
u572,ed128,2020-01-01,,false
u1675,ed286,2010-01-01,,false
u1561,ed215,2015-01-01,,false
u1930,ed341,2019-01-01,2023-06-15,true
u583,ed272,2016-01-01,2020-06-15,true
u1359,ed284,2008-01-01,,false
u1237,ed322,2005-01-01,2008-06-15,true
u1820,ed9,2013-01-01,,false
u293,ed227,2020-01-01,2023-06-15,true
u311,ed430,2009-01-01,,false
u202,ed273,2020-01-01,2026-06-15,true
u575,ed427,2020-01-01,2023-06-15,true
u56,ed119,2006-01-01,2010-06-15,true
u851,ed138,2005-01-01,,false
u2040,ed185,2020-01-01,2025-06-15,true
u258,ed71,2011-01-01,,false
u1894,ed420,2019-01-01,,false
u1885,ed201,2011-01-01,,false
u1034,ed19,2018-01-01,2022-06-15,true
u196,ed402,2013-01-01,,false
u322,ed247,2009-01-01,,false
u2188,ed127,2005-01-01,,false
u1039,ed296,2009-01-01,,false
u1012,ed15,2017-01-01,,false
u823,ed291,2015-01-01,2019-06-15,true
u1301,ed179,2007-01-01,2010-06-15,true
u1535,ed219,2018-01-01,2022-06-15,true
u1996,ed134,2006-01-01,,false
u1240,ed42,2019-01-01,,false
u1667,ed262,2006-01-01,,false
u713,ed136,2010-01-01,2013-06-15,true
u2168,ed358,2017-01-01,,false
u1883,ed296,2020-01-01,2023-06-15,true
u461,ed215,2005-01-01,,false
u1278,ed416,2018-01-01,2024-06-15,true
u763,ed337,2017-01-01,2023-06-15,true
u2042,ed325,2005-01-01,2010-06-15,true
u2028,ed446,2008-01-01,2014-06-15,true
u981,ed417,2014-01-01,2020-06-15,true
u285,ed20,2008-01-01,2012-06-15,true
u1490,ed76,2014-01-01,2018-06-15,true
u2082,ed215,2009-01-01,,false
u1964,ed32,2017-01-01,,false
u155,ed112,2017-01-01,,false
u1591,ed15,2016-01-01,,false
u859,ed448,2010-01-01,,false
u2093,ed154,2011-01-01,2017-06-15,true
u634,ed277,2017-01-01,,false
u1193,ed364,2005-01-01,2008-06-15,true
u1885,ed297,2010-01-01,,false
u1230,ed166,2006-01-01,2010-06-15,true
u1787,ed55,2013-01-01,,false
u829,ed167,2014-01-01,,false
u370,ed163,2012-01-01,,false
u2066,ed72,2008-01-01,2012-06-15,true
u1680,ed120,2005-01-01,2011-06-15,true
u524,ed282,2005-01-01,,false
u595,ed85,2012-01-01,2015-06-15,true
u791,ed188,2014-01-01,,false
u468,ed65,2011-01-01,2014-06-15,true
u1659,ed190,2008-01-01,2011-06-15,true
u344,ed10,2011-01-01,2015-06-15,true
u685,ed90,2011-01-01,,false
u828,ed111,2014-01-01,2018-06-15,true
u788,ed345,2010-01-01,,false
u539,ed303,2012-01-01,2018-06-15,true
u1097,ed161,2006-01-01,2009-06-15,true
u568,ed236,2007-01-01,2012-06-15,true
u1756,ed128,2019-01-01,2024-06-15,true
u1576,ed54,2010-01-01,,false
u2023,ed108,2009-01-01,,false
u1146,ed446,2015-01-01,2019-06-15,true
u592,ed415,2005-01-01,2010-06-15,true
u2090,ed419,2005-01-01,,false
u235,ed26,2009-01-01,,false
u50,ed108,2007-01-01,2010-06-15,true
u47,ed4,2018-01-01,,false
u1379,ed268,2006-01-01,,false
u693,ed175,2010-01-01,2014-06-15,true
u1347,ed385,2016-01-01,,false
u652,ed144,2014-01-01,,false
u1361,ed448,2014-01-01,,false
u2169,ed91,2008-01-01,,false
u201,ed117,2009-01-01,2012-06-15,true
u1129,ed332,2010-01-01,2013-06-15,true
u430,ed407,2018-01-01,2021-06-15,true
u1249,ed240,2005-01-01,,false
u944,ed214,2014-01-01,,false
u271,ed405,2007-01-01,2012-06-15,true
u1239,ed199,2011-01-01,,false
u1309,ed323,2012-01-01,,false
u1815,ed321,2011-01-01,2017-06-15,true
u333,ed258,2006-01-01,2011-06-15,true
u1893,ed139,2019-01-01,,false
u2053,ed365,2007-01-01,,false
u1797,ed372,2009-01-01,2015-06-15,true
u369,ed63,2014-01-01,,false
u1224,ed263,2019-01-01,,false
u1707,ed227,2012-01-01,,false
u396,ed349,2009-01-01,2014-06-15,true
u509,ed106,2020-01-01,,false
u406,ed286,2007-01-01,2013-06-15,true
u1413,ed17,2013-01-01,2017-06-15,true
u45,ed413,2019-01-01,2024-06-15,true
u881,ed389,2018-01-01,2024-06-15,true
u725,ed194,2016-01-01,,false
u1469,ed363,2015-01-01,2019-06-15,true
u224,ed91,2007-01-01,2013-06-15,true
u1063,ed174,2016-01-01,,false
u2115,ed212,2020-01-01,2026-06-15,true
u1012,ed263,2018-01-01,2024-06-15,true
u1503,ed144,2016-01-01,2020-06-15,true
u2008,ed22,2007-01-01,,false
u1315,ed365,2011-01-01,2017-06-15,true
u550,ed353,2019-01-01,2025-06-15,true
u829,ed118,2020-01-01,2025-06-15,true
u2169,ed318,2009-01-01,,false
u571,ed206,2005-01-01,2010-06-15,true
u356,ed304,2011-01-01,,false
u1590,ed220,2010-01-01,2015-06-15,true
u1187,ed429,2006-01-01,2010-06-15,true
u850,ed403,2018-01-01,,false
u1819,ed386,2009-01-01,2015-06-15,true
u1967,ed121,2017-01-01,2022-06-15,true
u792,ed253,2015-01-01,,false
u944,ed25,2019-01-01,2024-06-15,true
u1193,ed86,2010-01-01,,false
u1903,ed273,2015-01-01,2018-06-15,true
u578,ed132,2007-01-01,,false
u556,ed190,2008-01-01,2013-06-15,true
u343,ed129,2005-01-01,2010-06-15,true
u166,ed1,2006-01-01,2011-06-15,true
