from_usuario_id,to_usuario_id,fecha_conexion,nivel,aceptada
u1385,u664,2020-11-27,2do nivel,false
u664,u58,2021-08-04,2do nivel,true
u58,u1912,2023-07-22,2do nivel,false
u1912,u1798,2019-08-02,2do nivel,false
u1798,u1714,2025-01-15,2do nivel,false
u1714,u2002,2020-04-23,1er nivel,true
u2002,u1734,2023-07-26,1er nivel,true
u1734,u1422,2024-06-29,3er nivel,false
u1422,u1537,2021-06-21,2do nivel,false
u1537,u380,2024-03-14,2do nivel,false
u380,u836,2023-11-30,3er nivel,false
u836,u1020,2023-03-16,3er nivel,true
u1020,u1078,2024-03-10,1er nivel,true
u1078,u858,2020-02-24,3er nivel,true
u858,u1703,2022-07-25,2do nivel,false
u1703,u710,2022-09-01,2do nivel,true
u710,u2032,2021-05-24,2do nivel,false
u2032,u1773,2022-12-12,2do nivel,false
u1773,u316,2025-09-12,2do nivel,true
u316,u374,2024-02-29,3er nivel,true
u374,u1952,2024-05-04,2do nivel,true
u1952,u278,2022-06-18,3er nivel,false
u278,u195,2022-10-13,1er nivel,true
u195,u260,2019-03-22,1er nivel,false
u260,u2041,2021-03-13,1er nivel,false
u2041,u989,2020-03-03,1er nivel,false
u989,u502,2020-12-05,2do nivel,true
u502,u1162,2020-03-20,3er nivel,true
u1162,u1646,2025-06-11,3er nivel,false
u1646,u2138,2023-04-14,2do nivel,true
u2138,u601,2021-11-24,1er nivel,false
u601,u1330,2023-02-08,2do nivel,true
u1330,u1222,2022-08-30,1er nivel,false
u1222,u212,2024-04-05,2do nivel,false
u212,u1793,2023-11-01,2do nivel,true
u1793,u164,2023-07-11,2do nivel,true
u164,u1974,2022-01-09,1er nivel,false
u1974,u1868,2022-06-14,1er nivel,true
u1868,u36,2020-09-22,1er nivel,true
u36,u1557,2020-06-04,1er nivel,false
u1557,u343,2019-10-26,1er nivel,false
u343,u1811,2022-04-13,3er nivel,false
u1811,u10,2019-06-21,2do nivel,true
u10,u135,2023-03-21,2do nivel,true
u135,u96,2019-09-10,3er nivel,true
u96,u560,2022-02-15,3er nivel,false
u560,u1954,2023-09-14,1er nivel,false
u1954,u919,2024-01-23,1er nivel,false
u919,u1685,2020-11-28,2do nivel,true
u1685,u1440,2019-08-14,3er nivel,true
u1440,u92,2020-10-20,1er nivel,false
u92,u1947,2023-05-16,3er nivel,true
u1947,u1356,2021-01-04,1er nivel,false
u1356,u1785,2019-01-05,2do nivel,false
u1785,u708,2019-06-20,2do nivel,false
u708,u1995,2020-04-09,3er nivel,false
u1995,u1641,2025-01-24,3er nivel,false
u1641,u1079,2022-01-21,3er nivel,false
u1079,u769,2020-06-02,1er nivel,false
u769,u302,2021-10-21,3er nivel,false
u302,u1605,2019-10-23,1er nivel,true
u1605,u867,2019-05-17,3er nivel,true
u867,u808,2019-05-16,3er nivel,false
u808,u1548,2024-07-06,2do nivel,true
u1548,u1696,2022-05-03,1er nivel,false
u1696,u518,2020-08-11,1er nivel,true
u518,u1107,2020-01-31,2do nivel,true
u1107,u1388,2024-03-24,2do nivel,true
u1388,u1471,2025-10-03,2do nivel,false
u1471,u331,2025-08-14,1er nivel,false
u331,u1043,2019-04-23,2do nivel,false
u1043,u295,2022-12-19,1er nivel,true
u295,u654,2022-01-13,3er nivel,true
u654,u824,2022-01-12,1er nivel,true
u824,u1894,2019-05-15,2do nivel,true
u1894,u2071,2022-03-20,1er nivel,true
u2071,u232,2019-07-05,2do nivel,false
u232,u1359,2020-11-20,1er nivel,true
u1359,u534,2025-04-18,2do nivel,false
u534,u284,2025-12-05,3er nivel,false
u284,u720,2024-09-06,3er nivel,true
u720,u975,2023-06-28,2do nivel,false
u975,u1908,2020-11-04,3er nivel,false
u1908,u103,2019-05-16,1er nivel,false
u103,u1115,2023-05-25,3er nivel,false
u1115,u280,2024-12-10,2do nivel,true
u280,u1927,2024-08-20,3er nivel,true
u1927,u513,2020-04-28,1er nivel,true
u513,u1820,2021-04-26,1er nivel,false
u1820,u1329,2020-12-06,3er nivel,true
u1329,u733,2021-05-01,3er nivel,true
u733,u799,2023-01-31,1er nivel,true
u799,u1855,2021-05-11,2do nivel,false
u1855,u388,2022-10-05,1er nivel,false
u388,u2057,2022-03-19,3er nivel,true
u2057,u1379,2023-06-17,3er nivel,true
u1379,u1626,2021-02-05,2do nivel,false
u1626,u249,2025-03-03,3er nivel,false
u249,u484,2025-02-26,2do nivel,false
u484,u1529,2019-05-22,2do nivel,true
u1529,u288,2020-11-24,2do nivel,true
u288,u1576,2023-06-11,3er nivel,false
u1576,u1063,2022-08-23,3er nivel,false
u1063,u419,2020-06-15,2do nivel,true
u419,u139,2021-03-15,3er nivel,false
u139,u1799,2019-08-17,1er nivel,true
u1799,u715,2022-05-04,3er nivel,false
u715,u968,2019-11-14,3er nivel,false
u968,u2150,2025-11-14,3er nivel,true
u2150,u525,2022-07-01,2do nivel,false
u525,u1616,2019-10-26,1er nivel,true
u1616,u1571,2025-11-06,2do nivel,false
u1571,u750,2021-12-15,2do nivel,true
u750,u306,2025-08-01,3er nivel,true
u306,u853,2021-12-22,1er nivel,false
u853,u985,2024-03-19,1er nivel,true
u985,u2028,2025-12-06,3er nivel,false
u2028,u974,2024-02-21,1er nivel,false
u974,u567,2019-02-13,1er nivel,false
u567,u1199,2023-08-21,1er nivel,true
u1199,u688,2024-01-22,1er nivel,false
u688,u900,2023-06-15,3er nivel,false
u900,u85,2022-08-26,2do nivel,true
u85,u2029,2022-04-19,3er nivel,false
u2029,u625,2019-12-20,1er nivel,true
u625,u1238,2023-07-16,2do nivel,false
u1238,u332,2021-08-21,1er nivel,true
u332,u1545,2023-07-14,2do nivel,true
u1545,u651,2020-04-17,1er nivel,false
u651,u217,2024-09-14,2do nivel,true
u217,u1565,2021-01-06,2do nivel,true
u1565,u1680,2024-02-04,1er nivel,true
u1680,u1060,2023-07-19,3er nivel,false
u1060,u2092,2020-07-25,1er nivel,true
u2092,u1075,2025-10-21,1er nivel,false
u1075,u557,2021-10-07,3er nivel,false
u557,u790,2019-10-17,3er nivel,false
u790,u2066,2022-09-15,2do nivel,false
u2066,u1461,2019-12-21,2do nivel,false
u1461,u1054,2023-03-14,3er nivel,false
u1054,u606,2020-10-24,1er nivel,false
u606,u161,2023-01-31,3er nivel,true
u161,u93,2023-11-21,2do nivel,true
u93,u1131,2024-08-08,3er nivel,true
u1131,u155,2021-08-20,3er nivel,false
u155,u330,2019-07-15,3er nivel,true
u330,u2149,2021-03-07,2do nivel,true
u2149,u1669,2023-05-27,3er nivel,true
u1669,u994,2022-12-11,3er nivel,true
u994,u1757,2023-05-13,2do nivel,false
u1757,u273,2023-04-16,3er nivel,true
u273,u1795,2025-01-29,1er nivel,false
u1795,u440,2025-08-08,2do nivel,false
u440,u1018,2022-10-07,1er nivel,true
u1018,u1294,2019-04-14,1er nivel,true
u1294,u1645,2020-08-09,2do nivel,false
u1645,u1270,2019-02-25,3er nivel,true
u1270,u1120,2023-08-03,3er nivel,true
u1120,u1692,2022-02-24,2do nivel,true
u1692,u12,2025-12-09,1er nivel,true
u12,u999,2021-08-19,1er nivel,false
u999,u561,2019-12-23,2do nivel,true
u561,u1713,2020-04-01,1er nivel,false
u1713,u2177,2022-03-28,2do nivel,true
u2177,u1353,2024-08-05,3er nivel,true
u1353,u833,2025-06-28,1er nivel,true
u833,u1532,2023-07-28,3er nivel,false
u1532,u597,2025-05-26,2do nivel,false
u597,u1052,2020-10-08,2do nivel,false
u1052,u1346,2020-05-30,3er nivel,true
u1346,u928,2021-10-06,2do nivel,true
u928,u831,2020-08-01,2do nivel,true
u831,u404,2024-04-14,1er nivel,true
u404,u1268,2025-12-02,2do nivel,true
u1268,u1252,2023-09-02,1er nivel,true
u1252,u870,2025-08-11,3er nivel,true
u870,u290,2025-09-22,3er nivel,true
u290,u826,2021-12-12,1er nivel,true
u826,u2179,2021-08-04,2do nivel,true
u2179,u1639,2023-11-28,1er nivel,false
u1639,u2169,2022-05-22,2do nivel,true
u2169,u1357,2021-01-30,2do nivel,false
u1357,u644,2025-10-02,2do nivel,true
u644,u786,2023-05-16,2do nivel,true
u786,u1322,2020-07-02,3er nivel,false
u1322,u1815,2021-01-05,1er nivel,true
u1815,u427,2020-02-22,2do nivel,false
u427,u741,2021-09-02,1er nivel,false
u741,u1118,2019-07-25,1er nivel,false
u1118,u714,2025-12-08,3er nivel,true
u714,u1726,2021-01-31,3er nivel,false
u1726,u1100,2021-11-04,2do nivel,true
u1100,u1263,2019-12-16,3er nivel,false
u1263,u1006,2022-10-17,3er nivel,true
u1006,u1805,2023-09-25,1er nivel,false
u1805,u687,2020-12-11,2do nivel,false
u687,u2180,2020-03-11,1er nivel,true
u2180,u102,2025-07-08,2do nivel,false
u102,u1053,2019-01-20,3er nivel,false
u1053,u2120,2024-03-16,2do nivel,true
u2120,u776,2025-06-13,2do nivel,false
u776,u2007,2022-06-02,2do nivel,true
u2007,u1699,2020-01-18,3er nivel,true
u1699,u498,2021-05-19,1er nivel,true
u498,u1826,2024-02-01,1er nivel,true
u1826,u1139,2025-06-06,1er nivel,true
u1139,u729,2025-01-09,2do nivel,false
u729,u1153,2022-09-12,2do nivel,true
u1153,u1874,2023-08-10,1er nivel,false
u1874,u961,2025-07-04,3er nivel,false
u961,u2053,2019-09-17,2do nivel,false
u2053,u418,2023-09-19,3er nivel,false
u418,u1721,2022-12-25,3er nivel,true
u1721,u286,2025-09-11,2do nivel,false
u286,u1312,2025-07-25,2do nivel,false
u1312,u1037,2019-09-09,3er nivel,true
u1037,u218,2020-07-18,1er nivel,false
u218,u1534,2022-01-30,2do nivel,false
u1534,u2185,2020-03-02,2do nivel,true
u2185,u1459,2024-01-19,3er nivel,true
u1459,u585,2022-01-06,1er nivel,false
u585,u329,2020-09-27,2do nivel,true
u329,u517,2023-09-09,1er nivel,false
u517,u1250,2021-03-20,1er nivel,false
u1250,u1767,2024-03-31,2do nivel,false
u1767,u658,2022-01-24,1er nivel,true
u658,u1081,2020-08-17,1er nivel,true
u1081,u300,2022-05-20,1er nivel,true
u300,u1566,2025-08-15,2do nivel,true
u1566,u258,2024-10-03,1er nivel,true
u258,u2136,2021-08-10,2do nivel,false
u2136,u1393,2021-04-15,1er nivel,false
u1393,u2077,2022-08-31,1er nivel,true
u2077,u472,2020-12-24,3er nivel,false
u472,u1439,2025-01-22,1er nivel,false
u1439,u1873,2019-03-02,3er nivel,true
u1873,u1477,2021-08-21,1er nivel,false
u1477,u581,2020-02-19,1er nivel,false
u581,u969,2022-07-10,1er nivel,false
u969,u68,2019-12-25,1er nivel,false
u68,u978,2023-10-13,3er nivel,true
u978,u1647,2022-04-22,1er nivel,true
u1647,u623,2023-12-06,1er nivel,true
u623,u1796,2023-04-09,1er nivel,true
u1796,u294,2022-11-27,2do nivel,false
u294,u798,2019-12-15,3er nivel,false
u798,u830,2021-12-02,1er nivel,true
u830,u1983,2024-09-03,1er nivel,false
u1983,u1122,2022-05-24,1er nivel,false
u1122,u2047,2023-08-08,3er nivel,true
u2047,u642,2020-08-25,1er nivel,false
u642,u595,2025-01-18,1er nivel,false
u595,u1014,2022-10-28,3er nivel,true
u1014,u174,2020-12-12,3er nivel,false
u174,u1156,2022-11-20,2do nivel,true
u1156,u871,2025-03-30,2do nivel,true
u871,u108,2025-04-29,3er nivel,true
u108,u1615,2023-10-16,3er nivel,true
u1615,u896,2023-02-21,2do nivel,true
u896,u1169,2020-03-13,2do nivel,false
u1169,u473,2021-10-16,3er nivel,false
u473,u1240,2022-10-19,1er nivel,true
u1240,u832,2021-06-07,3er nivel,false
u832,u1114,2020-03-30,1er nivel,false
u1114,u376,2024-03-23,3er nivel,false
u376,u1140,2023-05-01,1er nivel,false
u1140,u439,2020-02-16,2do nivel,true
u439,u1076,2022-07-29,2do nivel,true
u1076,u682,2021-07-16,2do nivel,true
u682,u1492,2024-06-05,3er nivel,true
u1492,u2037,2023-04-16,2do nivel,true
u2037,u2109,2020-06-04,2do nivel,false
u2109,u1389,2024-06-04,1er nivel,false
u1389,u1211,2025-10-16,2do nivel,true
u1211,u1792,2019-11-16,1er nivel,true
u1792,u2186,2024-02-01,3er nivel,false
u2186,u1705,2019-01-02,3er nivel,false
u1705,u1334,2025-12-21,2do nivel,true
u1334,u1783,2025-08-30,2do nivel,false
u1783,u1962,2020-07-30,1er nivel,false
u1962,u568,2019-12-31,3er nivel,false
u568,u1935,2020-11-26,3er nivel,true
u1935,u673,2019-09-24,3er nivel,true
u673,u384,2023-03-25,2do nivel,false
u384,u1291,2022-07-08,3er nivel,false
u1291,u856,2021-11-22,2do nivel,false
u856,u2129,2019-02-28,1er nivel,true
u2129,u15,2023-01-29,2do nivel,true
u15,u796,2020-05-09,2do nivel,false
u796,u1929,2022-08-29,1er nivel,false
u1929,u1807,2023-05-21,1er nivel,false
u1807,u1110,2020-04-04,2do nivel,true
u1110,u1601,2025-01-26,3er nivel,false
u1601,u1406,2019-07-20,1er nivel,false
u1406,u559,2020-05-29,2do nivel,false
u559,u1920,2022-10-09,2do nivel,false
u1920,u2091,2023-12-08,2do nivel,true
u2091,u1064,2025-07-11,2do nivel,true
u1064,u2111,2021-11-22,1er nivel,false
u2111,u221,2019-09-11,3er nivel,false
u221,u1654,2023-05-26,1er nivel,false
u1654,u1650,2019-08-19,1er nivel,false
u1650,u1825,2022-08-12,1er nivel,true
u1825,u1960,2021-02-16,1er nivel,true
u1960,u973,2020-08-31,3er nivel,false
u973,u1884,2024-06-14,3er nivel,true
u1884,u1226,2022-06-18,1er nivel,false
u1226,u1720,2025-01-03,3er nivel,false
u1720,u599,2025-12-04,3er nivel,true
u599,u579,2025-10-20,2do nivel,false
u579,u2059,2023-08-04,1er nivel,false
u2059,u411,2024-09-27,2do nivel,true
u411,u1455,2020-08-03,2do nivel,false
u1455,u2144,2021-07-17,2do nivel,false
u2144,u156,2021-03-14,2do nivel,false
u156,u1191,2020-12-24,3er nivel,false
u1191,u910,2020-02-02,1er nivel,false
u910,u1910,2020-04-19,2do nivel,false
u1910,u1479,2021-05-19,3er nivel,false
u1479,u1880,2025-09-11,2do nivel,false
u1880,u1348,2021-03-10,3er nivel,false
u1348,u1315,2023-02-21,1er nivel,false
u1315,u492,2025-05-16,3er nivel,false
u492,u282,2024-08-20,3er nivel,true
u282,u189,2025-10-21,2do nivel,false
u189,u718,2021-08-22,1er nivel,false
u718,u371,2020-09-08,3er nivel,false
u371,u923,2022-08-25,3er nivel,false
u923,u2086,2020-05-12,2do nivel,true
u2086,u219,2025-11-29,2do nivel,true
u219,u481,2019-12-15,2do nivel,true
u481,u1661,2021-12-14,1er nivel,true
u1661,u1736,2022-12-30,2do nivel,false
u1736,u2140,2019-05-16,3er nivel,false
u2140,u679,2024-03-09,2do nivel,true
u679,u1738,2022-06-29,1er nivel,false
u1738,u119,2024-07-18,2do nivel,true
u119,u1512,2022-06-20,1er nivel,false
u1512,u241,2020-10-12,3er nivel,false
u241,u1523,2024-03-20,1er nivel,true
u1523,u605,2023-02-17,2do nivel,false
u605,u772,2023-11-01,2do nivel,true
u772,u390,2019-07-24,2do nivel,false
u390,u556,2025-05-25,3er nivel,false
u556,u607,2022-08-05,1er nivel,true
u607,u884,2025-07-15,1er nivel,false
u884,u1343,2022-12-19,1er nivel,false
u1343,u875,2019-04-05,2do nivel,true
u875,u1633,2021-07-24,2do nivel,false
u1633,u1980,2020-02-25,2do nivel,true
u1980,u149,2022-01-18,1er nivel,true
u149,u1044,2024-08-06,1er nivel,true
u1044,u704,2025-04-27,1er nivel,true
u704,u1195,2019-08-04,3er nivel,true
u1195,u1244,2022-07-25,1er nivel,true
u1244,u742,2025-12-07,1er nivel,true
u742,u924,2021-01-04,3er nivel,false
u924,u1800,2019-07-03,1er nivel,true
u1800,u357,2022-05-29,2do nivel,false
u357,u839,2023-12-31,1er nivel,true
u839,u2001,2022-11-24,2do nivel,false
u2001,u487,2020-06-02,1er nivel,false
u487,u51,2024-08-26,1er nivel,true
u51,u16,2021-10-31,3er nivel,false
u16,u45,2022-11-13,2do nivel,false
u45,u375,2022-07-07,2do nivel,false
u375,u417,2022-03-07,1er nivel,false
u417,u918,2021-08-07,1er nivel,true
u918,u1808,2021-10-03,3er nivel,false
u1808,u1674,2023-08-25,2do nivel,true
u1674,u377,2025-05-26,1er nivel,true
u377,u470,2022-04-06,3er nivel,true
u470,u1097,2019-08-06,3er nivel,true
u1097,u2122,2022-04-21,1er nivel,true
u2122,u1745,2019-06-18,1er nivel,false
u1745,u1134,2019-07-20,2do nivel,false
u1134,u2095,2021-12-13,3er nivel,true
u2095,u1827,2021-04-04,2do nivel,true
u1827,u1165,2022-04-05,1er nivel,false
u1165,u1474,2024-06-05,3er nivel,true
u1474,u1632,2021-04-15,2do nivel,true
u1632,u1591,2019-06-23,3er nivel,false
u1591,u151,2020-03-30,3er nivel,true
u151,u519,2020-02-14,3er nivel,true
u519,u631,2020-01-12,2do nivel,true
u631,u1184,2023-11-12,3er nivel,true
u1184,u100,2025-05-19,1er nivel,true
u100,u935,2019-10-02,3er nivel,false
u935,u754,2024-03-04,3er nivel,true
u754,u791,2019-12-14,3er nivel,true
u791,u1000,2025-02-06,1er nivel,true
u1000,u1148,2021-08-22,3er nivel,true
u1148,u1410,2023-06-23,3er nivel,false
u1410,u1830,2019-01-26,3er nivel,true
u1830,u587,2022-12-28,2do nivel,false
u587,u1436,2021-09-09,2do nivel,false
u1436,u49,2022-06-22,2do nivel,true
u49,u1824,2019-10-12,3er nivel,true
u1824,u1585,2022-11-29,2do nivel,false
u1585,u1690,2021-01-27,3er nivel,false
u1690,u1310,2021-10-16,3er nivel,false
u1310,u1761,2020-10-27,2do nivel,true
u1761,u310,2020-10-04,1er nivel,false
u310,u1688,2025-12-26,1er nivel,true
u1688,u628,2021-07-12,1er nivel,false
u628,u437,2022-11-14,3er nivel,true
u437,u1600,2021-12-06,2do nivel,true
u1600,u551,2025-10-23,1er nivel,true
u551,u2082,2021-02-22,3er nivel,false
u2082,u1425,2024-05-17,1er nivel,false
u1425,u1617,2025-11-26,1er nivel,false
u1617,u1806,2021-08-22,3er nivel,true
u1806,u735,2019-04-11,2do nivel,false
u735,u455,2021-07-16,1er nivel,true
u455,u846,2024-10-29,1er nivel,false
u846,u1959,2023-04-22,2do nivel,true
u1959,u2040,2022-04-25,3er nivel,true
u2040,u2106,2020-12-30,3er nivel,false
u2106,u636,2025-06-19,2do nivel,false
u636,u190,2024-11-04,3er nivel,true
u190,u322,2021-08-22,3er nivel,false
u322,u1608,2025-02-21,2do nivel,false
u1608,u67,2021-01-17,1er nivel,true
u67,u1695,2019-01-07,3er nivel,true
u1695,u998,2023-01-31,3er nivel,false
u998,u1775,2022-05-25,2do nivel,false
u1775,u2011,2024-07-05,3er nivel,true
u2011,u851,2019-01-17,2do nivel,false
u851,u613,2019-08-22,2do nivel,true
u613,u1468,2025-02-28,2do nivel,true
u1468,u1840,2021-02-12,3er nivel,true
u1840,u452,2020-11-27,1er nivel,false
u452,u1365,2024-02-12,2do nivel,true
u1365,u71,2020-07-02,2do nivel,false
u71,u299,2025-09-11,3er nivel,true
u299,u193,2025-06-09,1er nivel,true
u193,u1981,2021-05-05,1er nivel,true
u1981,u1274,2022-01-28,1er nivel,true
u1274,u1750,2021-07-29,3er nivel,false
u1750,u154,2020-06-21,3er nivel,true
u154,u1040,2019-08-13,1er nivel,false
u1040,u1964,2020-12-06,3er nivel,false
u1964,u578,2024-01-10,2do nivel,false
u578,u1871,2020-04-13,1er nivel,false
u1871,u2094,2021-05-29,2do nivel,true
u2094,u1756,2019-08-17,2do nivel,false
u1756,u341,2021-05-16,1er nivel,true
u341,u144,2021-01-10,1er nivel,false
u144,u1470,2020-02-28,2do nivel,false
u1470,u2087,2023-10-25,2do nivel,true
u2087,u669,2020-04-28,1er nivel,false
u669,u1236,2022-03-16,2do nivel,true
u1236,u94,2020-02-09,1er nivel,true
u94,u1744,2022-05-25,2do nivel,false
u1744,u1333,2025-04-19,1er nivel,false
u1333,u104,2023-06-18,2do nivel,false
u104,u2084,2020-10-15,1er nivel,true
u2084,u1574,2025-09-15,3er nivel,false
u1574,u450,2025-09-16,1er nivel,false
u450,u433,2022-05-01,1er nivel,false
u433,u565,2024-08-03,2do nivel,true
u565,u1228,2023-12-04,2do nivel,true
u1228,u505,2024-01-25,3er nivel,true
u505,u1451,2022-11-29,2do nivel,false
u1451,u1544,2024-09-11,2do nivel,false
u1544,u1541,2022-06-30,2do nivel,false
u1541,u475,2023-09-07,3er nivel,false
u475,u2056,2022-08-17,3er nivel,false
u2056,u184,2024-06-14,3er nivel,true
u184,u1653,2022-08-10,1er nivel,false
u1653,u1371,2023-02-05,1er nivel,false
u1371,u1671,2024-03-15,3er nivel,false
u1671,u176,2022-02-21,2do nivel,true
u176,u1915,2020-02-12,2do nivel,true
u1915,u616,2022-07-06,3er nivel,true
u616,u1026,2022-09-19,2do nivel,false
u1026,u1317,2019-01-12,2do nivel,true
u1317,u1050,2023-10-06,2do nivel,false
u1050,u1741,2025-11-05,2do nivel,false
u1741,u1774,2019-07-09,3er nivel,true
u1774,u702,2022-05-11,3er nivel,false
u702,u1012,2023-07-27,1er nivel,false
u1012,u123,2021-06-21,3er nivel,true
u123,u1730,2024-08-28,2do nivel,true
u1730,u946,2022-04-26,1er nivel,false
u946,u1984,2020-08-05,2do nivel,false
u1984,u1970,2019-01-01,3er nivel,true
u1970,u1182,2019-04-24,3er nivel,true
u1182,u944,2021-01-09,2do nivel,true
u944,u2060,2020-03-26,1er nivel,true
u2060,u20,2025-04-17,1er nivel,true
u20,u952,2025-07-07,3er nivel,false
u952,u2199,2021-12-23,3er nivel,false
u2199,u2131,2020-07-04,2do nivel,false
u2131,u807,2021-09-24,2do nivel,true
u807,u2156,2022-04-17,3er nivel,false
u2156,u1673,2021-12-15,3er nivel,false
u1673,u1668,2020-01-11,2do nivel,true
u1668,u765,2020-06-22,3er nivel,false
u765,u1391,2022-02-03,2do nivel,true
u1391,u216,2025-02-15,2do nivel,true
u216,u500,2021-07-18,2do nivel,false
u500,u1885,2025-05-25,3er nivel,true
u1885,u1634,2023-11-10,3er nivel,false
u1634,u1181,2021-07-01,2do nivel,false
u1181,u125,2020-08-09,1er nivel,false
u125,u1975,2022-08-10,1er nivel,true
u1975,u1146,2019-01-29,3er nivel,true
u1146,u1091,2019-09-27,3er nivel,true
u1091,u549,2024-07-26,3er nivel,false
u549,u491,2025-06-13,2do nivel,true
u491,u2044,2019-09-17,1er nivel,true
u2044,u467,2022-03-22,3er nivel,false
u467,u1005,2021-09-05,1er nivel,false
u1005,u1502,2019-04-15,3er nivel,true
u1502,u359,2019-08-09,2do nivel,true
u359,u114,2022-02-28,3er nivel,false
u114,u956,2025-10-14,2do nivel,true
u956,u1847,2025-12-08,3er nivel,false
u1847,u449,2022-01-07,1er nivel,true
u449,u1879,2023-01-23,3er nivel,false
u1879,u1994,2023-02-12,3er nivel,true
u1994,u2051,2021-12-08,3er nivel,false
u2051,u178,2023-01-04,3er nivel,false
u178,u1949,2020-11-19,1er nivel,true
